# XXZ spin chain 
# ED for L=20, Delta=0.225
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 594.53801871367466 596.088
5.0000000000000001E-004 2.3234026146574945E-006 1.55
1.0000000000000000E-003 7.1283105936721814E-006 1.55001
1.5000000000000000E-003 1.2436195468116630E-005 1.55001
2.0000000000000000E-003 2.3292938864319012E-005 1.55002
2.5000000000000001E-003 3.5730507674927364E-005 1.55004
3.0000000000000001E-003 4.6716673200465545E-005 1.55005
3.5000000000000001E-003 6.3552224864618602E-005 1.55006
4.0000000000000001E-003 7.1635225851900198E-005 1.55007
4.5000000000000005E-003 9.6188967413198616E-005 1.5501
5.0000000000000001E-003 1.1735381982342629E-004 1.55012
5.4999999999999997E-003 1.5163238646682039E-004 1.55015
6.0000000000000001E-003 1.5407119913801362E-004 1.55015
6.5000000000000006E-003 2.2157514920352964E-004 1.55022
7.0000000000000001E-003 2.8458267646120706E-004 1.55028
7.4999999999999997E-003 3.0914748216100650E-004 1.55031
8.0000000000000002E-003 2.8458065121578745E-004 1.55028
8.5000000000000006E-003 3.2406598876171319E-004 1.55032
9.0000000000000011E-003 3.7760857865612837E-004 1.55038
9.4999999999999998E-003 3.8920536434530452E-004 1.55039
1.0000000000000000E-002 4.2646126466093346E-004 1.55043
1.0500000000000001E-002 5.3292082132804571E-004 1.55053
1.0999999999999999E-002 5.3699999202376882E-004 1.55054
1.1500000000000000E-002 6.0595665477046511E-004 1.55061
1.2000000000000000E-002 6.2280829518423120E-004 1.55062
1.2500000000000001E-002 6.1912749111827910E-004 1.55062
1.3000000000000001E-002 7.4969221281913367E-004 1.55075
1.3500000000000000E-002 8.3930345995145671E-004 1.55084
1.4000000000000000E-002 9.6411661407366041E-004 1.55096
1.4500000000000001E-002 9.4383626741318608E-004 1.55094
1.4999999999999999E-002 1.0848657835626913E-003 1.55108
1.5500000000000000E-002 1.0270357934014137E-003 1.55103
1.6000000000000000E-002 1.3271680230384966E-003 1.55133
1.6500000000000001E-002 1.4826332576274870E-003 1.55148
1.7000000000000001E-002 1.3556032783942139E-003 1.55136
1.7500000000000002E-002 1.5832544670278390E-003 1.55158
1.8000000000000002E-002 1.5052594565253066E-003 1.55151
1.8499999999999999E-002 2.8161050551017554E-003 1.55282
1.9000000000000000E-002 2.9449119912364013E-003 1.55294
1.9500000000000000E-002 4.8656887838806348E-003 1.55487
2.0000000000000000E-002 6.0314978003739106E-003 1.55603
2.0500000000000001E-002 1.2476502533061352E-002 1.56248
2.1000000000000001E-002 2.8864200987900900E-002 1.57886
2.1500000000000002E-002 5.0852490073770101E-002 1.60085
2.1999999999999999E-002 5.3641786401327239E-002 1.60364
2.2499999999999999E-002 3.5278217127247845E-002 1.58528
2.3000000000000000E-002 2.7016925604037408E-002 1.57702
2.3500000000000000E-002 3.1316614827058865E-002 1.58132
2.4000000000000000E-002 3.9936277074121271E-002 1.58994
2.4500000000000001E-002 5.8644084851371812E-002 1.60864
2.5000000000000001E-002 5.4244141359667035E-002 1.60424
2.5500000000000002E-002 6.2873087572132558E-002 1.61287
2.6000000000000002E-002 5.9493962056241148E-002 1.60949
2.6499999999999999E-002 4.5166767676588684E-002 1.59517
2.7000000000000000E-002 4.3214351497284469E-002 1.59321
2.7500000000000000E-002 6.0206061905097363E-002 1.61021
2.8000000000000001E-002 7.6646120288403438E-002 1.62665
2.8500000000000001E-002 9.0171551086259683E-002 1.64017
2.9000000000000001E-002 0.10488002519128983 1.65488
2.9500000000000002E-002 9.6914391479514569E-002 1.64691
2.9999999999999999E-002 0.10138553332400349 1.65139
3.0499999999999999E-002 7.3730925236532796E-002 1.62373
3.1000000000000000E-002 7.6130231440667856E-002 1.62613
3.1500000000000000E-002 9.2109432517536088E-002 1.64211
3.2000000000000001E-002 8.8534053382218231E-002 1.63853
3.2500000000000001E-002 0.11577187309416333 1.66577
3.3000000000000002E-002 0.13452961650040132 1.68453
3.3500000000000002E-002 0.13095982991016714 1.68096
3.4000000000000002E-002 0.13711877858219201 1.68712
3.4500000000000003E-002 0.12577441208666343 1.67577
3.5000000000000003E-002 0.12073574817288382 1.67074
3.5500000000000004E-002 0.15711149920964113 1.70711
3.6000000000000004E-002 0.14312502734197566 1.69313
3.6499999999999998E-002 0.15662872336905875 1.70663
3.6999999999999998E-002 0.19975953658417295 1.74976
3.7499999999999999E-002 0.19717699683898571 1.74718
3.7999999999999999E-002 0.15906371935739200 1.70906
3.8500000000000000E-002 0.14539717760818871 1.6954
3.9000000000000000E-002 0.17678467097003914 1.72678
3.9500000000000000E-002 0.21963820928958150 1.76964
4.0000000000000001E-002 0.23567713837854221 1.78568
4.0500000000000001E-002 0.22614281331281633 1.77614
4.1000000000000002E-002 0.19030911993376423 1.74031
4.1500000000000002E-002 0.22735772470856008 1.77736
4.2000000000000003E-002 0.22739032628083092 1.77739
4.2500000000000003E-002 0.25329948996137724 1.8033
4.3000000000000003E-002 0.26725533892620307 1.81726
4.3500000000000004E-002 0.22226990805408867 1.77227
4.3999999999999997E-002 0.26564710732387414 1.81565
4.4499999999999998E-002 0.27166255770879472 1.82166
4.4999999999999998E-002 0.26831293039308829 1.81831
4.5499999999999999E-002 0.33310109846835378 1.8831
4.5999999999999999E-002 0.29356307688127797 1.84356
4.6500000000000000E-002 0.32982834406489636 1.87983
4.7000000000000000E-002 0.35190337794174403 1.9019
4.7500000000000001E-002 0.33390640731126775 1.88391
4.8000000000000001E-002 0.28901514809092266 1.83902
4.8500000000000001E-002 0.31127571807797916 1.86128
4.9000000000000002E-002 0.29922272627145091 1.84922
4.9500000000000002E-002 0.29662795222133093 1.84663
5.0000000000000003E-002 0.33536995482105614 1.88537
5.0500000000000003E-002 0.32705634088215418 1.87706
5.1000000000000004E-002 0.36188288164960652 1.91188
5.1500000000000004E-002 0.41332943493547952 1.96333
5.2000000000000005E-002 0.44626053435679569 1.99626
5.2499999999999998E-002 0.42349020666558473 1.97349
5.2999999999999999E-002 0.37262597612521253 1.92263
5.3499999999999999E-002 0.38459705638531561 1.9346
5.3999999999999999E-002 0.41302214436417478 1.96302
5.4500000000000000E-002 0.45478015715535525 2.00478
5.5000000000000000E-002 0.40385681912628690 1.95386
5.5500000000000001E-002 0.40843834014991581 1.95844
5.6000000000000001E-002 0.43514140111276950 1.98514
5.6500000000000002E-002 0.50659345841449710 2.05659
5.7000000000000002E-002 0.45833519207955264 2.00834
5.7500000000000002E-002 0.43350287450400421 1.9835
5.8000000000000003E-002 0.45272836536712086 2.00273
5.8500000000000003E-002 0.47813660280414505 2.02814
5.9000000000000004E-002 0.45785027452327248 2.00785
5.9500000000000004E-002 0.45681054326397680 2.00681
5.9999999999999998E-002 0.53843761132840606 2.08844
6.0499999999999998E-002 0.46424441341779127 2.01424
6.0999999999999999E-002 0.51281962097477540 2.06282
6.1499999999999999E-002 0.49618814560835883 2.04619
6.2000000000000000E-002 0.52441355459785755 2.07441
6.2500000000000000E-002 0.49096513827643068 2.04097
6.3000000000000000E-002 0.48692769552048609 2.03693
