# XXZ spin chain 
# ED for L=20, Delta=0.775
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 270.78121182268188 271.231
5.0000000000000001E-004 7.8669942714353149E-007 0.450001
1.0000000000000000E-003 2.3470880753905067E-006 0.450002
1.5000000000000000E-003 4.6914780632816940E-006 0.450005
2.0000000000000000E-003 7.2694021725753421E-006 0.450007
2.5000000000000001E-003 1.3148596712849932E-005 0.450013
3.0000000000000001E-003 1.5141405003158144E-005 0.450015
3.5000000000000001E-003 2.0424329135457790E-005 0.45002
4.0000000000000001E-003 2.5453224901373636E-005 0.450025
4.5000000000000005E-003 3.6589912048384771E-005 0.450037
5.0000000000000001E-003 3.5877673912143960E-005 0.450036
5.4999999999999997E-003 4.7402523762407561E-005 0.450047
6.0000000000000001E-003 6.1738636672136436E-005 0.450062
6.5000000000000006E-003 5.6119740340388491E-005 0.450056
7.0000000000000001E-003 8.4785412916901784E-005 0.450085
7.4999999999999997E-003 8.7306986011868474E-005 0.450087
8.0000000000000002E-003 9.0705736740339179E-005 0.450091
8.5000000000000006E-003 1.0191532332166412E-004 0.450102
9.0000000000000011E-003 1.1796526414112243E-004 0.450118
9.4999999999999998E-003 1.3472003010206416E-004 0.450135
1.0000000000000000E-002 1.4208987633320468E-004 0.450142
1.0500000000000001E-002 1.4167107245578893E-004 0.450142
1.0999999999999999E-002 1.7429456272440727E-004 0.450174
1.1500000000000000E-002 1.9319595762407914E-004 0.450193
1.2000000000000000E-002 1.9875059342798186E-004 0.450199
1.2500000000000001E-002 2.3147687874167653E-004 0.450231
1.3000000000000001E-002 2.1295218845559627E-004 0.450213
1.3500000000000000E-002 2.7823044087660044E-004 0.450278
1.4000000000000000E-002 2.6243366660063809E-004 0.450262
1.4500000000000001E-002 2.9611568399891491E-004 0.450296
1.4999999999999999E-002 2.9636665309557328E-004 0.450296
1.5500000000000000E-002 3.1605627119429114E-004 0.450316
1.6000000000000000E-002 3.2008668355742396E-004 0.45032
1.6500000000000001E-002 3.5326986237450039E-004 0.450353
1.7000000000000001E-002 3.8282020962707327E-004 0.450383
1.7500000000000002E-002 3.8831958053579753E-004 0.450388
1.8000000000000002E-002 4.2607956417997872E-004 0.450426
1.8499999999999999E-002 4.7545578442023830E-004 0.450475
1.9000000000000000E-002 5.4531545519400217E-004 0.450545
1.9500000000000000E-002 5.1776384008767940E-004 0.450518
2.0000000000000000E-002 7.8776783218901093E-004 0.450788
2.0500000000000001E-002 5.5843567243694968E-004 0.450558
