Superlattice								SYK2								Anderson				AA			
W=1.0				W=7.5				gamma=0.2				gamma=0.5				W=30				Alpha=1.5			
Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda
-5.35024	-2.65329	-6.36159	-3.08704	-5.43398	-0.97344	-6.37989	-1.20603	-1.4033	-4.05667	-1.5589	-4.12299	-1.25576	-1.6926	-1.39526	-1.76355	-12.96504	-0.69473	-14.07516	-0.46473	-1.99523	-2.78712	-1.99999	-2.79095
-5.31533	-2.63695	-6.35364	-3.02355	-5.41794	-0.96291	-6.37663	-1.18572	-1.40067	-3.93196	-1.55802	-4.11052	-1.2503	-1.4877	-1.39446	-1.77004	-12.95957	-0.82402	-14.06693	0.56171	-1.99479	-2.78663	-1.99999	-2.79094
-5.29812	-2.54742	-6.35154	-3.04181	-5.38798	-0.95339	-6.37032	-1.19498	-1.39328	-3.84515	-1.55784	-4.12491	-1.24413	-1.55656	-1.39417	-1.77173	-12.78313	-0.87308	-14.0662	-0.32835	-1.99433	-2.78601	-1.99999	-2.79094
-5.2617	-2.50284	-6.34095	-3.05037	-5.32742	-0.93406	-6.36904	-1.19829	-1.39256	-3.99769	-1.55699	-4.1048	-1.24068	-1.67412	-1.39341	-1.78395	-12.77898	-0.9118	-14.06319	-3.29605	-1.99385	-2.78522	-1.99999	-2.79094
-5.22542	-2.63506	-6.3401	-3.02153	-5.29066	-0.9573	-6.35077	-1.18829	-1.38348	-3.9024	-1.55647	-4.10162	-1.23492	-1.55547	-1.39301	-1.76483	-12.74695	-0.15378	-14.04855	-1.13763	-1.99335	-2.78407	-1.99999	-2.79094
-5.18018	-2.60089	-6.33341	-3.04914	-5.26822	-0.8741	-6.34876	-1.19961	-1.3808	-3.94616	-1.55574	-4.11236	-1.23032	-1.56366	-1.39247	-1.78086	-12.69921	2.22912	-14.04671	-0.68488	-1.99282	-2.78132	-1.99999	-2.79094
-5.16537	-2.55792	-6.32941	-3.05273	-5.2168	-0.87295	-6.34675	-1.19742	-1.37647	-3.89314	-1.55522	-4.11325	-1.22794	-1.66394	-1.3916	-1.74316	-12.67707	-1.70313	-14.04229	1.14876	-1.99228	-2.47396	-1.99998	-2.79094
-5.13861	-2.46807	-6.3226	-3.01749	-5.19022	-0.89051	-6.34188	-1.20036	-1.37004	-3.85906	-1.55494	-4.11238	-1.22625	-1.58636	-1.39111	-1.77174	-12.66456	0.0831	-14.03728	-0.18225	-1.99172	-2.47178	-1.99998	-2.79094
-5.10999	-2.5376	-6.32162	-3.02605	-5.16951	-0.86411	-6.33691	-1.17307	-1.36555	-3.9458	-1.55372	-4.10095	-1.2195	-1.62281	-1.39098	-1.7574	-12.63673	0.22536	-14.02551	-1.89146	-1.99114	-2.47134	-1.99998	-2.79094
-5.08677	-2.52945	-6.31598	-3.02896	-5.11206	-0.79297	-6.33401	-1.21465	-1.3598	-3.90346	-1.55311	-4.1128	-1.212	-1.61527	-1.3903	-1.74066	-12.54117	0.50983	-14.01438	-3.31729	-1.99054	-2.4711	-1.99998	-2.79094
-5.01863	-2.47189	-6.312	-3.04857	-5.09161	-0.86216	-6.33215	-1.18978	-1.35952	-4.0136	-1.55259	-4.09858	-1.21053	-1.44196	-1.38965	-1.73021	-12.5205	-1.71547	-13.99009	-2.26017	-1.98992	-2.47086	-1.99998	-2.79094
-4.98486	-2.42963	-6.30439	-3.06152	-5.06079	-0.86192	-6.32581	-1.20867	-1.35185	-3.794	-1.55192	-4.08845	-1.20737	-1.4907	-1.3892	-1.77914	-12.50858	-0.25056	-13.97195	-1.81877	-1.98928	-2.47058	-1.99998	-2.79094
-4.96777	-2.52277	-6.30182	-3.02866	-5.05193	-0.88288	-6.32223	-1.18632	-1.35	-4.03597	-1.55132	-4.10232	-1.20505	-1.63853	-1.38903	-1.76077	-12.50532	-0.96319	-13.96134	-0.35211	-1.98862	-2.47022	-1.99998	-2.79094
-4.94222	-2.3242	-6.29953	-3.03201	-5.03854	-0.84004	-6.31596	-1.19718	-1.34438	-4.05233	-1.55118	-4.05749	-1.19521	-1.58677	-1.38845	-1.76825	-12.44216	-1.20629	-13.94912	-1.86485	-1.98795	-2.46982	-1.99997	-2.79094
-4.91242	-2.45654	-6.29469	-2.99359	-5.0306	-0.78526	-6.31335	-1.17579	-1.34212	-3.98399	-1.55095	-4.10117	-1.19053	-1.57319	-1.3877	-1.76336	-12.41766	0.94685	-13.94903	1.14172	-1.98725	-2.46932	-1.99997	-2.79094
-4.89231	-2.3971	-6.29337	-3.04143	-4.98713	-0.83059	-6.31042	-1.20862	-1.3311	-3.82567	-1.54978	-4.0951	-1.19024	-1.56493	-1.38747	-1.76542	-12.3821	-1.05643	-13.92845	-1.98466	-1.98653	-2.46875	-1.99997	-2.79094
-4.87054	-2.35344	-6.29129	-2.99829	-4.96758	-0.84236	-6.30386	-1.19247	-1.32718	-3.76146	-1.54965	-4.09893	-1.18534	-1.43017	-1.3863	-1.77216	-12.34379	-0.35326	-13.91405	-0.03961	-1.98579	-2.46811	-1.99997	-2.79093
-4.85542	-2.29172	-6.28358	-3.02536	-4.92989	-0.78132	-6.3002	-1.19608	-1.3203	-3.94621	-1.54893	-4.10089	-1.1804	-1.62993	-1.38618	-1.7623	-12.3248	-3.27741	-13.91148	-0.48632	-1.98504	-2.4674	-1.99997	-2.79093
-4.84123	-2.39004	-6.28225	-3.05111	-4.90308	-0.76261	-6.29531	-1.18048	-1.3155	-3.74072	-1.54883	-4.07544	-1.17763	-1.48038	-1.38506	-1.76654	-12.3092	-1.59333	-13.90004	-0.39942	-1.98426	-2.46662	-1.99997	-2.79093
-4.78494	-2.40126	-6.27754	-3.02706	-4.88458	-0.78888	-6.29057	-1.19428	-1.31237	-3.82033	-1.54784	-4.08408	-1.17464	-1.58123	-1.38463	-1.72502	-12.27043	-0.86414	-13.89689	-0.92505	-1.98347	-2.46578	-1.99997	-2.79093
-4.77454	-2.33514	-6.2738	-3.02259	-4.85449	-0.76299	-6.28663	-1.17911	-1.30978	-3.79221	-1.54724	-4.07872	-1.1648	-1.55305	-1.38426	-1.74447	-12.19205	0.32218	-13.89491	0.64982	-1.98265	-2.46487	-1.99996	-2.79093
-4.75057	-2.33665	-6.27236	-2.99474	-4.83048	-0.77316	-6.28453	-1.20116	-1.30657	-3.95049	-1.54627	-4.09263	-1.16229	-1.53321	-1.38385	-1.75298	-12.15547	0.44498	-13.89473	-0.31648	-1.98182	-2.46391	-1.99996	-2.79093
-4.74591	-2.31436	-6.26886	-3.00059	-4.80592	-0.7179	-6.28023	-1.1977	-1.29847	-3.86315	-1.5462	-4.06092	-1.1599	-1.55991	-1.38341	-1.74564	-12.13802	-1.32821	-13.89043	-0.09412	-1.98096	-2.46288	-1.99996	-2.79093
-4.72636	-2.30522	-6.26577	-3.01578	-4.79472	-0.81446	-6.27805	-1.18054	-1.29259	-3.85499	-1.54529	-4.08476	-1.15755	-1.50523	-1.38288	-1.73316	-12.12698	-1.15384	-13.8782	-1.56843	-1.98009	-2.4618	-1.99996	-2.79093
-4.70966	-2.33071	-6.2614	-2.98907	-4.76142	-0.77873	-6.27718	-1.18151	-1.29173	-3.77294	-1.545	-4.11083	-1.15145	-1.56257	-1.3819	-1.73079	-12.11851	-0.73697	-13.86521	-2.26358	-1.97919	-2.46067	-1.99996	-2.79093
-4.69622	-2.29737	-6.25774	-3.01392	-4.75288	-0.8515	-6.27128	-1.19598	-1.29007	-3.82902	-1.54462	-4.06366	-1.1478	-1.47389	-1.38179	-1.71945	-12.10159	-2.77386	-13.86388	-1.39818	-1.97828	-2.45948	-1.99995	-2.79093
-4.6762	-2.2089	-6.25526	-3.01086	-4.72027	-0.78662	-6.26748	-1.18922	-1.28206	-3.84413	-1.54395	-4.11067	-1.14569	-1.47418	-1.38138	-1.76017	-12.03303	0.9918	-13.85344	-0.43237	-1.97735	-2.45823	-1.99995	-2.79092
-4.65644	-2.27344	-6.25308	-3.03136	-4.71259	-0.72415	-6.26511	-1.17308	-1.27881	-3.76508	-1.54322	-4.08594	-1.14279	-1.47677	-1.38044	-1.71831	-12.02644	-2.55314	-13.85002	-2.33828	-1.9764	-2.45693	-1.99995	-2.79092
-4.63407	-2.24082	-6.25222	-3.02644	-4.70011	-0.70399	-6.25987	-1.18914	-1.27481	-3.84139	-1.5428	-4.08612	-1.13789	-1.44911	-1.37994	-1.71317	-12.02063	-2.84701	-13.85	-2.29222	-1.97543	-2.45557	-1.99995	-2.79092
-4.63062	-2.18873	-6.2463	-2.97286	-4.67175	-0.69129	-6.25798	-1.19557	-1.27249	-3.79167	-1.54232	-4.09602	-1.13342	-1.45665	-1.37963	-1.73967	-11.98651	0.90402	-13.84492	2.46674	-1.97444	-2.45415	-1.99995	-2.79092
-4.60068	-2.2671	-6.24554	-3.00884	-4.6606	-0.76842	-6.25479	-1.18035	-1.26747	-3.8039	-1.54194	-4.08604	-1.13007	-1.3532	-1.3793	-1.72438	-11.93752	1.97888	-13.83955	-1.09214	-1.97342	-2.45266	-1.99994	-2.79092
-4.58417	-2.25926	-6.24107	-3.05481	-4.65229	-0.78591	-6.25318	-1.19511	-1.26214	-3.72096	-1.54115	-4.09774	-1.12879	-1.52366	-1.37907	-1.75602	-11.93416	0.65146	-13.83934	0.82876	-1.9724	-2.45106	-1.99994	-2.79092
-4.56527	-2.35246	-6.23469	-3.01138	-4.60833	-0.67358	-6.24291	-1.1804	-1.25854	-3.68026	-1.54072	-4.1113	-1.12272	-1.50616	-1.37816	-1.74946	-11.92835	-1.34346	-13.83502	-2.57258	-1.97135	-2.44925	-1.99994	-2.79092
-4.54377	-2.32772	-6.23177	-2.97599	-4.59676	-0.64137	-6.23808	-1.18065	-1.25562	-3.7343	-1.5404	-4.10539	-1.11891	-1.4524	-1.37767	-1.76045	-11.88051	0.49754	-13.82808	0.73032	-1.97028	-2.44661	-1.99994	-2.79092
-4.53701	-2.29137	-6.22555	-3.01354	-4.5846	-0.72903	-6.23478	-1.1767	-1.25222	-3.62879	-1.54015	-4.08688	-1.11669	-1.41884	-1.37758	-1.77255	-11.85882	-1.56586	-13.82685	-1.17957	-1.96919	-2.45421	-1.99994	-2.79092
-4.50899	-2.19058	-6.22404	-3.03653	-4.54777	-0.70341	-6.23286	-1.17353	-1.24695	-3.77527	-1.53974	-4.10079	-1.11351	-1.613	-1.3771	-1.7686	-11.77506	1.52194	-13.82467	0.03718	-1.96808	-2.44667	-1.99993	-2.79091
-4.50246	-2.15406	-6.22185	-3.01031	-4.53356	-0.75282	-6.23095	-1.18198	-1.24544	-3.68131	-1.53887	-4.08916	-1.11214	-1.48949	-1.3764	-1.76906	-11.75686	-1.61335	-13.82343	-3.39413	-1.96696	-2.44444	-1.99993	-2.79091
-4.47684	-2.11234	-6.21835	-2.97253	-4.52875	-0.6681	-6.23002	-1.18358	-1.24074	-3.80878	-1.5385	-4.06872	-1.10979	-1.51785	-1.37576	-1.71618	-11.63674	-0.33634	-13.81849	-2.71798	-1.96581	-2.44253	-1.99993	-2.79091
-4.4458	-2.22626	-6.21347	-2.96667	-4.52357	-0.70863	-6.22891	-1.18133	-1.23368	-3.63916	-1.53825	-4.05313	-1.10206	-1.54939	-1.37575	-1.73353	-11.5833	0.87998	-13.81297	-1.20785	-1.96465	-2.44068	-1.99993	-2.79091
-4.43441	-2.08	-6.21024	-2.99594	-4.5042	-0.71031	-6.22395	-1.17374	-1.23164	-3.71895	-1.53759	-4.08288	-1.09629	-1.38837	-1.37505	-1.74427	-11.5647	1.2894	-13.80872	1.66357	-1.96346	-2.43885	-1.99992	-2.79091
-4.41673	-2.22535	-6.20901	-2.99391	-4.48138	-0.72696	-6.22253	-1.16217	-1.22532	-3.57588	-1.5366	-4.08441	-1.09434	-1.56951	-1.3748	-1.75364	-11.47411	0.56687	-13.80055	-1.55626	-1.96226	-2.437	-1.99992	-2.79091
-4.40939	-2.06768	-6.20704	-2.9623	-4.47612	-0.66884	-6.22057	-1.16414	-1.224	-3.66973	-1.53616	-4.06425	-1.09273	-1.41627	-1.37405	-1.77667	-11.46282	-0.62364	-13.79257	-0.8782	-1.96103	-2.43513	-1.99992	-2.79091
-4.39149	-2.27417	-6.19891	-2.99484	-4.43274	-0.69835	-6.21834	-1.18135	-1.21826	-3.79249	-1.53581	-4.05773	-1.08597	-1.26822	-1.37374	-1.7624	-11.45107	-0.03517	-13.78389	-0.30211	-1.95979	-2.43323	-1.99992	-2.7909
-4.37412	-2.00576	-6.19869	-2.92926	-4.42593	-0.63731	-6.21602	-1.18203	-1.21388	-3.74466	-1.53551	-4.08087	-1.08447	-1.42769	-1.37354	-1.73739	-11.43493	1.14383	-13.77847	-1.15105	-1.95853	-2.4313	-1.99991	-2.7909
