Superlattice								SYK2								Anderson				AA			
W=1.0				W=7.5				gamma=0.2				gamma=0.5				W=30				Alpha=1.5			
Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda
2.38256	3.03369	-5.04153	-2.45765	2.35575	1.45237	-5.04243	-0.85245	0.691	2.90471	-1.33937	-3.86592	0.61854	0.90686	-1.19785	-1.56982	7.17422	-1.01346	-12.42816	-2.48627	1.49702	1.68978	-1.98787	-2.46872
2.38702	3.0245	-5.03931	-2.48454	2.36245	1.48475	-5.04073	-0.84772	0.6946	2.98603	-1.33923	-3.86264	0.62006	0.79576	-1.19777	-1.567	7.19732	-0.1661	-12.4258	2.87464	1.50118	1.69667	-1.98784	-2.46871
2.39212	3.13985	-5.03865	-2.49016	2.37594	1.40207	-5.03984	-0.8496	0.69778	2.86128	-1.33914	-3.87399	0.62279	0.89956	-1.19767	-1.55206	7.19972	-0.8047	-12.42343	-0.52356	1.50532	1.7036	-1.98781	-2.46869
2.39998	3.14037	-5.0378	-2.4743	2.38256	1.70259	-5.03913	-0.85291	0.69938	2.99932	-1.3388	-3.89875	0.62411	0.89269	-1.19732	-1.60875	7.33152	0.59437	-12.42293	2.33557	1.50944	1.71056	-1.98778	-2.46867
2.40974	2.94383	-5.03576	-2.46705	2.38531	1.51662	-5.03896	-0.84633	0.70218	2.92125	-1.33864	-3.86597	0.62782	0.78149	-1.19719	-1.57499	7.34929	0.53295	-12.42263	-2.21295	1.51355	1.71751	-1.98774	-2.46865
2.41446	2.97316	-5.03442	-2.47865	2.40356	1.47464	-5.0377	-0.85359	0.70454	3.05833	-1.33842	-3.83676	0.62989	0.8893	-1.19716	-1.58801	7.36745	0.77087	-12.42086	-1.8663	1.51765	1.72446	-1.98771	-2.46863
2.42468	2.94991	-5.03337	-2.47433	2.41076	1.53471	-5.03541	-0.85345	0.70765	3.00324	-1.33818	-3.8813	0.63189	0.95803	-1.19691	-1.61598	7.39471	0.05837	-12.41815	0.23542	1.52173	1.73139	-1.98768	-2.46861
2.42794	3.14361	-5.03253	-2.46293	2.41747	1.51513	-5.03416	-0.85598	0.7118	3.01446	-1.33783	-3.84103	0.63297	0.82869	-1.19658	-1.57604	7.41737	1.01331	-12.41652	0.3054	1.52579	1.7383	-1.98765	-2.46859
2.43263	3.07759	-5.03178	-2.47819	2.42221	1.43252	-5.03307	-0.84463	0.71494	2.92112	-1.33759	-3.87971	0.63952	0.76661	-1.19652	-1.56075	7.46523	0.3509	-12.41556	-0.97746	1.52985	1.74519	-1.98762	-2.46857
2.4459	2.96436	-5.03044	-2.48791	2.43046	1.62272	-5.03246	-0.84897	0.71766	2.90753	-1.33744	-3.88119	0.64381	1.04324	-1.19631	-1.61628	7.48065	-0.2575	-12.41358	1.11662	1.53388	1.75205	-1.98759	-2.46855
2.45485	2.9546	-5.02955	-2.482	2.4323	1.74253	-5.03026	-0.85862	0.71807	3.0082	-1.33717	-3.85657	0.64412	0.96516	-1.19616	-1.58839	7.49508	-0.00861	-12.41283	1.52965	1.5379	1.75888	-1.98755	-2.46853
2.46333	3.02759	-5.02762	-2.46623	2.44513	1.62598	-5.02918	-0.84799	0.72438	3.04887	-1.33709	-3.85679	0.64515	0.93478	-1.19582	-1.5428	7.51712	-0.55133	-12.4126	0.09255	1.54191	1.76567	-1.98752	-2.46851
2.47468	2.91034	-5.0269	-2.46197	2.46291	1.31767	-5.02806	-0.84139	0.72653	2.98719	-1.33689	-3.86378	0.64965	0.7877	-1.19563	-1.59762	7.52867	-0.87317	-12.41107	0.41173	1.5459	1.77244	-1.98749	-2.46849
2.49636	3.06757	-5.02585	-2.45473	2.4793	1.6003	-5.02645	-0.84594	0.72901	3.03803	-1.3368	-3.89567	0.6517	0.923	-1.19545	-1.57524	7.57734	0.13425	-12.40963	1.35452	1.54987	1.77916	-1.98746	-2.46847
2.49837	2.82053	-5.02485	-2.47153	2.48909	1.41953	-5.02556	-0.82717	0.72994	2.91776	-1.33672	-3.88594	0.65329	0.96408	-1.19521	-1.56749	7.60848	-0.50518	-12.4048	-3.4324	1.55383	1.78585	-1.98743	-2.46845
2.51355	3.06739	-5.02279	-2.45765	2.49681	1.23002	-5.02515	-0.84397	0.73275	2.9139	-1.33648	-3.85352	0.6556	1.17864	-1.19499	-1.56599	7.61921	0.2058	-12.40459	0.20947	1.55778	1.79251	-1.98739	-2.46843
2.52302	2.86793	-5.02201	-2.45876	2.50236	1.45371	-5.02342	-0.84237	0.73648	2.988	-1.33628	-3.842	0.65942	0.92145	-1.19491	-1.55131	7.63141	-0.61604	-12.40184	-2.37931	1.5617	1.79913	-1.98736	-2.46841
2.5235	3.05272	-5.02081	-2.47794	2.50874	1.38816	-5.02229	-0.85328	0.73867	2.89386	-1.33604	-3.86545	0.66188	0.97816	-1.19445	-1.57021	7.6544	0.31935	-12.39955	-0.34147	1.56562	1.80572	-1.98733	-2.46839
2.54004	3.03547	-5.01938	-2.48765	2.51537	1.40079	-5.02165	-0.84453	0.74226	3.09438	-1.33569	-3.87831	0.66279	0.98789	-1.19433	-1.56608	7.66959	0.50103	-12.3992	-0.1704	1.56952	1.81226	-1.9873	-2.46837
2.54644	3.08366	-5.01764	-2.48085	2.52788	1.18484	-5.02062	-0.85389	0.74313	2.96161	-1.3356	-3.87977	0.66435	1.16066	-1.19415	-1.56995	7.71356	1.94685	-12.39617	-1.71901	1.5734	1.81878	-1.98726	-2.46835
2.55461	2.90685	-5.01732	-2.46039	2.54264	1.44163	-5.01942	-0.8456	0.7438	2.77817	-1.33532	-3.87779	0.66681	0.88601	-1.19402	-1.58417	7.72956	0.38706	-12.39379	0.87494	1.57727	1.82527	-1.98723	-2.46833
2.57233	3.11764	-5.016	-2.46486	2.55125	1.51072	-5.01844	-0.84548	0.74738	3.14412	-1.33507	-3.86683	0.66882	0.87191	-1.19393	-1.5799	7.73683	0.2648	-12.39337	0.96961	1.58112	1.83174	-1.9872	-2.4683
2.57485	2.91996	-5.01554	-2.45929	2.56334	1.33734	-5.01804	-0.8488	0.75251	2.8723	-1.33487	-3.85446	0.67077	0.96715	-1.19379	-1.51876	7.76838	-1.17671	-12.39312	-0.37004	1.58495	1.83835	-1.98717	-2.46828
2.58087	3.17451	-5.01416	-2.44186	2.56885	1.26457	-5.0168	-0.84719	0.75822	2.95207	-1.33442	-3.87791	0.67406	0.9326	-1.19354	-1.57348	7.77586	0.42683	-12.39239	0.40086	1.58877	1.84587	-1.98714	-2.46826
2.5885	3.13941	-5.01302	-2.45067	2.58325	1.33015	-5.01461	-0.84101	0.75915	2.98463	-1.33429	-3.85028	0.6747	0.95115	-1.19316	-1.57976	7.78271	0.88889	-12.39216	-1.20626	1.59258	1.85168	-1.9871	-2.46824
2.60155	3.07837	-5.01131	-2.47126	2.58703	1.32503	-5.01348	-0.85269	0.76304	2.9966	-1.334	-3.85766	0.67651	0.98257	-1.19299	-1.55302	7.78597	1.28592	-12.39104	-2.6387	1.59637	1.85753	-1.98707	-2.46822
2.61777	3.15421	-5.01	-2.43088	2.60596	1.41058	-5.01171	-0.84765	0.76627	3.03499	-1.3338	-3.87078	0.6814	0.91818	-1.19294	-1.57154	7.8106	0.51775	-12.38963	0.60513	1.60014	1.86341	-1.98704	-2.46819
2.62241	3.02135	-5.00881	-2.40571	2.61548	1.40954	-5.01084	-0.83401	0.76986	2.89404	-1.33376	-3.85645	0.68784	1.03263	-1.19289	-1.53438	7.83413	0.94522	-12.38854	0.74248	1.6039	1.86928	-1.98701	-2.46817
2.63629	2.98643	-5.00799	-2.45997	2.62281	1.40337	-5.00969	-0.82963	0.77218	3.13792	-1.33345	-3.86511	0.68978	1.05014	-1.1924	-1.58898	7.86028	0.08058	-12.38842	0.90509	1.60764	1.87501	-1.98697	-2.46815
2.64606	3.13618	-5.00733	-2.46186	2.62614	1.46105	-5.00899	-0.85407	0.7753	2.97921	-1.33326	-3.85983	0.69212	0.92341	-1.19232	-1.56013	7.8673	-0.98174	-12.38748	-2.08714	1.61137	1.87746	-1.98694	-2.46813
2.64811	2.98685	-5.00612	-2.4249	2.6347	1.37061	-5.00837	-0.83089	0.78045	3.03262	-1.33297	-3.84186	0.69429	0.94851	-1.1921	-1.56072	7.88795	-1.4759	-12.3849	0.39834	1.61508	1.88857	-1.98691	-2.4681
2.65666	2.94266	-5.00496	-2.43993	2.65012	1.37088	-5.00777	-0.85064	0.78264	3.12602	-1.33283	-3.86165	0.69643	1.0899	-1.19204	-1.59719	7.90775	0.91155	-12.3849	-4.78977	1.61877	1.89414	-1.98687	-2.46808
2.67162	2.73747	-5.00377	-2.47186	2.65794	1.47455	-5.00696	-0.84424	0.78564	3.0753	-1.33271	-3.85698	0.69989	1.01769	-1.19183	-1.5953	7.93147	1.38654	-12.38223	1.13671	1.62245	1.90004	-1.98684	-2.46806
2.67602	2.89476	-5.00254	-2.44469	2.66022	1.42183	-5.00603	-0.84542	0.78599	3.13315	-1.33244	-3.86747	0.70259	1.07707	-1.19168	-1.60788	7.94366	2.34798	-12.38074	-2.41994	1.62611	1.90602	-1.98681	-2.46803
2.6852	2.98885	-5.00176	-2.45046	2.68877	1.32116	-5.00494	-0.83409	0.79067	3.04339	-1.33234	-3.83979	0.70519	1.00992	-1.19147	-1.57498	7.97417	1.43209	-12.38024	-0.54415	1.62976	1.91202	-1.98678	-2.46801
2.69353	2.98752	-5.00142	-2.44573	2.69265	1.44518	-5.00351	-0.82885	0.79204	3.23281	-1.33213	-3.89375	0.70796	0.94312	-1.19124	-1.51763	7.98371	-1.37474	-12.38014	-2.58611	1.63339	1.91803	-1.98674	-2.46798
2.70637	2.80775	-5.00048	-2.45526	2.70393	1.31856	-5.00242	-0.83054	0.79415	3.02462	-1.33197	-3.86356	0.71153	0.99223	-1.19108	-1.57645	7.98785	0.98776	-12.37926	-0.76011	1.637	1.92403	-1.98671	-2.46796
2.71576	2.77032	-4.9992	-2.42313	2.7147	1.17422	-5.00104	-0.82999	0.7962	3.16834	-1.33173	-3.87774	0.71327	0.93183	-1.19097	-1.56582	7.99956	1.37091	-12.3784	1.38057	1.6406	1.92997	-1.98668	-2.46794
2.72187	3.02576	-4.99791	-2.44867	2.72008	1.28635	-5.0001	-0.84281	0.79859	3.09083	-1.33147	-3.87341	0.71422	0.98072	-1.1907	-1.58736	8.01616	0.39776	-12.37787	-1.14964	1.64418	1.93592	-1.98664	-2.46791
2.74071	2.92987	-4.99634	-2.44251	2.73288	1.35299	-4.99895	-0.83139	0.80285	3.10249	-1.3313	-3.85114	0.71604	1.00719	-1.19058	-1.55712	8.05335	0.98804	-12.37317	0.96739	1.64775	1.94185	-1.98661	-2.46789
2.74432	3.15625	-4.99486	-2.44081	2.73762	1.22697	-4.9971	-0.83408	0.80457	3.17171	-1.33129	-3.8542	0.72101	1.07538	-1.19047	-1.5445	8.08956	0.36534	-12.37203	-0.57977	1.6513	1.94777	-1.98658	-2.46786
2.75338	3.02633	-4.99442	-2.44914	2.74704	1.31298	-4.9946	-0.83406	0.80805	3.15745	-1.33093	-3.86679	0.72219	0.94688	-1.19034	-1.54769	8.10073	0.7444	-12.36992	-1.52606	1.65483	1.95366	-1.98655	-2.46784
2.76045	3.02785	-4.99332	-2.45035	2.75963	1.26336	-4.99428	-0.82423	0.81285	3.04311	-1.33075	-3.85383	0.72605	1.07394	-1.19016	-1.55988	8.11943	-2.20244	-12.36975	-1.20095	1.65835	1.95952	-1.98651	-2.46781
2.77751	3.02409	-4.99251	-2.43444	2.76608	1.34573	-4.99303	-0.84195	0.81664	3.16182	-1.33054	-3.87741	0.72851	1.23512	-1.18996	-1.53481	8.13914	-1.38474	-12.369	-0.96882	1.66185	1.96536	-1.98648	-2.46779
2.78658	2.90418	-4.99136	-2.44656	2.78068	1.23676	-4.99149	-0.82687	0.81937	3.24552	-1.33042	-3.85233	0.7314	1.02656	-1.18966	-1.58009	8.16697	-0.26052	-12.36882	0.04494	1.66533	1.97117	-1.98645	-2.46776
2.79876	2.97343	-4.98887	-2.4431	2.78309	1.32034	-4.99046	-0.8297	0.82109	3.15138	-1.33021	-3.88003	0.73481	1.12604	-1.18956	-1.54948	8.18521	0.11009	-12.36838	-0.42474	1.6688	1.97695	-1.98641	-2.46774
2.80847	2.9563	-4.98728	-2.46375	2.8006	1.18331	-4.99035	-0.82693	0.82181	3.01601	-1.32976	-3.84343	0.73573	0.93503	-1.18934	-1.5646	8.18941	0.09165	-12.36783	-1.0246	1.67225	1.9827	-1.98638	-2.46771
2.81704	2.95568	-4.98631	-2.4385	2.80792	1.26193	-4.9887	-0.83546	0.82693	3.03699	-1.32973	-3.8588	0.7395	1.03282	-1.18916	-1.57174	8.20436	-0.30327	-12.36768	-0.72324	1.67569	1.98843	-1.98635	-2.46768
2.82663	3.2644	-4.98577	-2.41728	2.81603	1.18114	-4.98691	-0.82444	0.82906	3.05863	-1.32936	-3.85421	0.74001	1.03823	-1.18901	-1.55669	8.2176	0.0561	-12.36694	1.55685	1.67911	1.99412	-1.98631	-2.46766
2.83428	2.96671	-4.98478	-2.46043	2.82232	1.16763	-4.98635	-0.82581	0.83182	3.10299	-1.32931	-3.83835	0.74387	1.16649	-1.1888	-1.54452	8.24916	-0.39125	-12.36642	-2.13182	1.68251	1.99978	-1.98628	-2.46763
2.84772	2.88035	-4.98232	-2.43319	2.83398	1.29557	-4.98553	-0.83387	0.83327	3.15667	-1.32917	-3.85416	0.74492	1.06731	-1.18848	-1.55087	8.25437	-1.94493	-12.36615	-0.9411	1.68589	2.00544	-1.98625	-2.46761
2.86377	3.05634	-4.9813	-2.42938	2.85212	1.31026	-4.98412	-0.83794	0.83462	3.31341	-1.32898	-3.84774	0.74726	1.04184	-1.1883	-1.58525	8.28571	0.42089	-12.36565	-1.47585	1.68926	2.01095	-1.98621	-2.46758
2.87085	3.18602	-4.98051	-2.44945	2.85873	1.21585	-4.98353	-0.83772	0.83943	3.21746	-1.32876	-3.81932	0.74955	1.06106	-1.18817	-1.53469	8.31005	0.85619	-12.3594	0.88622	1.69261	2.01654	-1.98618	-2.46755
2.87781	2.90932	-4.97934	-2.42459	2.86649	1.19894	-4.9818	-0.8291	0.84181	3.16695	-1.32862	-3.88569	0.75834	1.13407	-1.1879	-1.59022	8.33771	-1.10961	-12.3561	-0.02699	1.69595	2.02207	-1.98614	-2.46753
2.89833	2.9769	-4.97875	-2.44707	2.86811	1.273	-4.98153	-0.84403	0.84417	3.1127	-1.32827	-3.84247	0.76044	1.06011	-1.18774	-1.56133	8.40206	-0.5053	-12.35382	0.28753	1.69927	2.02757	-1.98611	-2.4675
2.90802	3.09203	-4.97684	-2.45855	2.8771	1.22457	-4.98041	-0.83727	0.8485	3.23879	-1.32802	-3.86776	0.76265	0.97075	-1.18747	-1.56013	8.42623	-0.51156	-12.35368	-1.57943	1.70257	2.03303	-1.98608	-2.46747
2.91075	2.96232	-4.9764	-2.4429	2.89811	1.21401	-4.97967	-0.82969	0.85117	3.25053	-1.32791	-3.83873	0.76485	1.04504	-1.18729	-1.55056	8.50079	-0.8837	-12.35146	-1.42678	1.70585	2.03846	-1.98604	-2.46744
2.93136	2.99343	-4.97538	-2.4508	2.91735	1.23807	-4.97798	-0.82232	0.85457	3.10574	-1.32766	-3.86418	0.76619	0.9467	-1.18719	-1.55512	8.51635	-0.52168	-12.35092	1.98066	1.70912	2.04386	-1.98601	-2.46742
2.94476	2.89367	-4.974	-2.42821	2.92555	1.12752	-4.97749	-0.83137	0.85725	3.28224	-1.3274	-3.87346	0.76762	0.9607	-1.18691	-1.53752	8.57061	-1.99633	-12.34965	0.0929	1.71237	2.04922	-1.98598	-2.46739
2.94834	2.86	-4.97265	-2.42872	2.94186	1.07971	-4.97529	-0.83826	0.85958	3.32326	-1.32714	-3.8605	0.77105	1.06966	-1.18688	-1.58178	8.59631	-1.42629	-12.34944	1.65813	1.71561	2.05455	-1.98594	-2.46736
2.95728	3.0014	-4.97186	-2.43155	2.95334	1.08743	-4.97493	-0.82584	0.86512	3.27891	-1.32704	-3.86555	0.77196	1.01643	-1.18643	-1.52517	8.61754	2.95979	-12.34324	-0.57933	1.71883	2.05985	-1.98591	-2.46733
2.97305	2.89482	-4.97049	-2.4273	2.97326	1.23446	-4.97299	-0.82936	0.86781	3.09916	-1.32654	-3.86154	0.77411	1.09273	-1.18635	-1.55621	8.64271	-1.44228	-12.34111	-2.29848	1.72203	2.06511	-1.98587	-2.4673
2.98248	3.03197	-4.9699	-2.40392	2.97966	1.16292	-4.97224	-0.81379	0.87019	3.22864	-1.3265	-3.84881	0.77605	1.15906	-1.18621	-1.58349	8.64338	-1.49931	-12.34059	-1.64313	1.72521	2.07034	-1.98584	-2.46728
2.9906	3.03152	-4.96794	-2.42924	2.99703	1.10877	-4.9707	-0.83696	0.87388	3.20866	-1.32627	-3.83367	0.77941	1.03907	-1.18615	-1.5413	8.70689	-0.49895	-12.34022	-2.39762	1.72838	2.07554	-1.98581	-2.46725
3.00266	2.91104	-4.96668	-2.41241	3.00343	1.15034	-4.96973	-0.83885	0.87614	3.12993	-1.32597	-3.85519	0.78025	1.13788	-1.18578	-1.56303	8.71009	-0.63132	-12.33937	-1.64675	1.73153	2.08072	-1.98577	-2.46722
3.00703	3.15374	-4.96628	-2.41663	3.0126	1.1499	-4.96904	-0.82465	0.88039	3.25015	-1.32587	-3.85395	0.78421	1.11016	-1.18571	-1.56007	8.73176	0.11996	-12.33641	-0.6073	1.73466	2.08585	-1.98574	-2.46719
3.02728	2.96623	-4.96555	-2.42214	3.01748	1.2266	-4.96701	-0.82952	0.88326	3.34693	-1.32574	-3.85501	0.7881	1.21114	-1.18549	-1.56951	8.7404	0.64	-12.33638	2.44489	1.73778	2.09095	-1.9857	-2.46716
3.04858	3.06664	-4.9643	-2.46558	3.02214	1.07528	-4.96651	-0.827	0.88664	3.33478	-1.32541	-3.85021	0.78976	0.9292	-1.1853	-1.57782	8.7414	0.7084	-12.33518	-0.84639	1.74087	2.09603	-1.98567	-2.46713
3.05902	3.07914	-4.96396	-2.42595	3.0367	1.118	-4.96399	-0.83804	0.88697	3.35177	-1.32509	-3.84296	0.79269	1.14536	-1.18518	-1.60095	8.75497	0.02844	-12.33493	-0.39626	1.74396	2.10107	-1.98564	-2.4671
3.06138	2.97759	-4.96206	-2.41005	3.05839	1.12581	-4.96293	-0.82567	0.8882	3.25849	-1.32485	-3.86876	0.79672	1.14286	-1.18496	-1.57299	8.79879	-0.71852	-12.33165	-2.27338	1.74702	2.10609	-1.9856	-2.46707
3.0933	3.1032	-4.95964	-2.42225	3.06827	1.2293	-4.96248	-0.81783	0.89179	3.24048	-1.32468	-3.8369	0.798	1.04526	-1.1847	-1.56562	8.85036	-0.25778	-12.33144	-0.49102	1.75007	2.11108	-1.98557	-2.46705
3.10121	3.11729	-4.95859	-2.40716	3.07536	1.10908	-4.96185	-0.81482	0.89566	3.32651	-1.32437	-3.85855	0.80126	0.95947	-1.18454	-1.54141	8.85984	-0.21153	-12.33042	2.51065	1.7531	2.11605	-1.98553	-2.46702
3.12643	2.88809	-4.95848	-2.42069	3.08843	1.05889	-4.96129	-0.83048	0.89712	3.22849	-1.32421	-3.8809	0.80298	1.1855	-1.18447	-1.55281	8.90325	0.50027	-12.3294	0.89275	1.75611	2.12099	-1.9855	-2.46699
3.13205	3.19936	-4.95686	-2.42885	3.10162	1.06357	-4.96012	-0.82646	0.90042	3.29149	-1.32395	-3.88117	0.80607	1.05193	-1.18413	-1.50823	8.96651	0.24955	-12.32646	-2.35623	1.7591	2.12591	-1.98546	-2.46696
3.1437	3.06641	-4.95633	-2.43236	3.11687	1.24759	-4.95871	-0.83581	0.90276	3.3023	-1.32384	-3.85113	0.8069	1.09292	-1.18393	-1.56107	8.96994	1.56528	-12.32531	1.56355	1.76208	2.13082	-1.98543	-2.46693
3.14625	3.11551	-4.95506	-2.43836	3.13053	1.12421	-4.9581	-0.81778	0.90596	3.26694	-1.32356	-3.86457	0.80855	1.29822	-1.18373	-1.5713	8.99878	2.73634	-12.32495	-0.67403	1.76504	2.13571	-1.9854	-2.4669
3.16379	3.04791	-4.95388	-2.43027	3.13366	1.04561	-4.95725	-0.81397	0.90752	3.38619	-1.32344	-3.84861	0.81242	1.10342	-1.18353	-1.55656	9.03555	-0.70793	-12.32346	0.10784	1.76799	2.1406	-1.98536	-2.46687
3.16711	3.24688	-4.95302	-2.42032	3.14385	1.20453	-4.95526	-0.83044	0.91123	3.3869	-1.32324	-3.84292	0.81657	1.23572	-1.18345	-1.52366	9.04605	-0.28241	-12.32255	-3.28597	1.77091	2.14549	-1.98533	-2.46684
3.17707	2.95931	-4.952	-2.43207	3.15864	1.16176	-4.95492	-0.817	0.91414	3.24559	-1.32308	-3.83297	0.81851	1.05439	-1.1833	-1.56929	9.05259	0.47711	-12.31964	-0.84629	1.77382	2.1504	-1.98529	-2.4668
3.18589	2.96088	-4.95095	-2.43508	3.17862	1.04616	-4.95333	-0.83721	0.91742	3.25155	-1.32272	-3.8359	0.82342	1.21218	-1.18327	-1.54702	9.0719	1.33034	-12.31873	1.64258	1.77671	2.15507	-1.98526	-2.46677
3.2036	3.10849	-4.95004	-2.42239	3.18812	1.12418	-4.95133	-0.81737	0.92238	3.43355	-1.32247	-3.85656	0.82522	1.21429	-1.18315	-1.55018	9.11027	-1.1407	-12.31676	-1.30609	1.77958	2.1602	-1.98522	-2.46674
3.21882	3.05828	-4.94793	-2.39956	3.20182	1.11275	-4.95096	-0.82138	0.92479	3.42954	-1.32232	-3.82223	0.82898	1.209	-1.18294	-1.534	9.11963	-0.74554	-12.31628	-0.25235	1.78244	2.16555	-1.98519	-2.46671
3.22641	3.25127	-4.94756	-2.40734	3.21116	1.12777	-4.95026	-0.80953	0.92635	3.44859	-1.32212	-3.85139	0.83054	1.16556	-1.18266	-1.55175	9.14713	-0.46374	-12.31403	1.71569	1.78528	2.17139	-1.98515	-2.46668
3.2322	2.86152	-4.94691	-2.4044	3.22125	1.00826	-4.94814	-0.82777	0.9308	3.27106	-1.32175	-3.82395	0.83251	1.13723	-1.18237	-1.55382	9.15593	-1.18013	-12.31316	0.3845	1.7881	2.17852	-1.98512	-2.46665
3.23638	3.03682	-4.94655	-2.40194	3.23588	1.08542	-4.94768	-0.81232	0.93199	3.40783	-1.32168	-3.87451	0.83608	1.09154	-1.18212	-1.53753	9.17428	-0.30386	-12.31305	0.94426	1.7909	2.19112	-1.98508	-2.46662
3.25001	3.20234	-4.9457	-2.42576	3.24149	1.11127	-4.94643	-0.81307	0.93583	3.4236	-1.3214	-3.84453	0.83867	1.16151	-1.18206	-1.55942	9.23561	2.97657	-12.31032	-0.38676	1.79369	1.87603	-1.98505	-2.46659
3.26386	3.22627	-4.94385	-2.43157	3.25982	0.98358	-4.9454	-0.82297	0.941	3.37509	-1.32121	-3.82785	0.84134	1.10524	-1.18177	-1.55378	9.23854	3.02001	-12.30988	-0.11531	1.79646	2.1698	-1.98501	-2.46655
3.26584	3.12276	-4.94305	-2.43477	3.26595	1.10413	-4.94507	-0.81317	0.9447	3.29485	-1.32114	-3.8406	0.84604	1.23628	-1.18165	-1.57488	9.25318	1.89169	-12.30604	-3.147	1.79921	2.18117	-1.98498	-2.46652
3.278	3.10632	-4.94189	-2.44099	3.28326	1.13924	-4.94366	-0.82395	0.94504	3.43797	-1.3209	-3.84204	0.84821	1.38269	-1.18159	-1.57278	9.26953	-1.42699	-12.30556	1.87972	1.80194	2.18793	-1.98494	-2.46649
3.29695	3.11343	-4.93964	-2.4248	3.28885	1.09238	-4.94182	-0.82487	0.94887	3.37399	-1.32079	-3.85752	0.8538	1.28206	-1.18131	-1.54547	9.32034	3.40395	-12.30385	-0.17059	1.80465	2.19347	-1.98491	-2.46646
3.30518	3.09413	-4.93959	-2.42021	3.29534	1.08978	-4.94133	-0.82474	0.95472	3.31664	-1.32067	-3.84902	0.85408	1.18034	-1.1811	-1.53998	9.34628	2.60163	-12.30015	-0.89349	1.80735	2.1985	-1.98487	-2.46643
3.32603	3.07793	-4.93771	-2.42582	3.30542	1.02162	-4.93989	-0.81225	0.95634	3.45794	-1.32028	-3.84753	0.85628	1.26104	-1.18094	-1.58605	9.35454	-0.92667	-12.2969	0.6545	1.81003	2.20333	-1.98484	-2.46639
3.3382	3.11454	-4.93679	-2.43447	3.31967	1.02192	-4.93862	-0.81111	0.95981	3.41421	-1.31994	-3.84941	0.8591	1.16298	-1.18065	-1.53902	9.36259	0.59656	-12.29634	1.39448	1.81269	2.20817	-1.9848	-2.46636
3.34667	3.1553	-4.93627	-2.41809	3.33388	1.05324	-4.93764	-0.82799	0.96467	3.51475	-1.31988	-3.83717	0.86187	1.20686	-1.18055	-1.56407	9.37776	-1.23145	-12.29293	-3.09252	1.81533	2.21262	-1.98477	-2.46633
3.35616	3.07802	-4.93476	-2.40694	3.34058	1.15014	-4.93711	-0.82409	0.96714	3.33185	-1.31968	-3.83813	0.86321	1.13218	-1.18044	-1.53146	9.38826	0.09996	-12.29045	-2.12236	1.81796	2.21698	-1.98473	-2.46629
3.36698	3.19739	-4.93415	-2.41259	3.35661	1.11077	-4.93557	-0.81701	0.96928	3.408	-1.31962	-3.84574	0.8657	1.0993	-1.1802	-1.54084	9.4199	1.74352	-12.28946	-1.90357	1.82057	2.22127	-1.9847	-2.46626
3.37573	3.21378	-4.93167	-2.40836	3.38057	1.04381	-4.93425	-0.82859	0.97132	3.50095	-1.31939	-3.83679	0.867	1.22049	-1.18007	-1.54507	9.42946	2.23168	-12.2878	-2.05146	1.82316	2.2255	-1.98466	-2.46623
3.38417	3.15243	-4.93151	-2.42599	3.3831	1.09352	-4.93359	-0.8245	0.9752	3.38512	-1.31923	-3.85309	0.87083	1.12084	-1.17991	-1.53639	9.43372	1.22014	-12.28434	-1.5731	1.82573	2.22968	-1.98463	-2.46619
3.40498	3.04724	-4.9303	-2.42896	3.38822	1.04983	-4.93287	-0.81606	0.97768	3.53826	-1.31906	-3.87491	0.87403	1.09038	-1.17966	-1.55717	9.52899	1.08353	-12.28433	-2.17217	1.82828	2.23381	-1.98459	-2.46616
3.42557	2.94326	-4.92962	-2.41941	3.39588	1.07937	-4.93151	-0.82756	0.98198	3.4269	-1.3189	-3.84296	0.87731	1.15567	-1.17964	-1.5475	9.53501	0.80701	-12.28384	-0.04848	1.83082	2.2379	-1.98455	-2.46613
3.43373	3.0248	-4.92883	-2.42057	3.41903	1.09012	-4.93007	-0.82661	0.98259	3.40907	-1.3186	-3.86573	0.88112	1.35172	-1.1793	-1.54082	9.5384	1.63122	-12.28309	-3.24029	1.83333	2.24194	-1.98452	-2.46609
3.43917	3.15413	-4.92788	-2.41286	3.42513	1.01626	-4.92931	-0.80859	0.98523	3.46327	-1.31843	-3.85902	0.88588	1.2786	-1.17924	-1.56723	9.59141	0.695	-12.2826	1.69643	1.83583	2.24595	-1.98448	-2.46606
3.44538	3.21192	-4.92639	-2.41218	3.43725	1.06527	-4.92811	-0.8204	0.98944	3.384	-1.31842	-3.81839	0.88774	1.0975	-1.17916	-1.5685	9.59422	0.2592	-12.28165	-0.41818	1.83831	2.24993	-1.98445	-2.46603
3.46132	2.98292	-4.9257	-2.40943	3.44026	1.14133	-4.9266	-0.81467	0.99211	3.5095	-1.31798	-3.86296	0.88938	1.30201	-1.17879	-1.55693	9.61047	0.97903	-12.28084	-2.14671	1.84078	2.25387	-1.98441	-2.46599
