# Interacting fermions (standard model)
# Delta=1, W=4.0
# Mean gap ratio <r> 
# L <r>
1.000000000000000000e+01 4.155914477238500382e-01
1.200000000000000000e+01 4.072614822785250444e-01
1.400000000000000000e+01 4.030464759430000266e-01
1.600000000000000000e+01 3.996810798300500789e-01
