# Interacting fermions (standard model)
# Delta=1, W=3.0
# Mean gap ratio <r> 
# L <r>
1.000000000000000000e+01 4.391567087057750562e-01
1.200000000000000000e+01 4.321325987700500026e-01
1.400000000000000000e+01 4.309423244110499596e-01
1.600000000000000000e+01 4.329808020645199429e-01
