1.000000000000000056e-01,1.029866117404737436e-02
1.499999999999999944e-01,2.375296912114014183e-02
2.000000000000000111e-01,3.984063745019920250e-02
2.500000000000000000e-01,5.847953216374268681e-02
2.999999999999999889e-01,7.633587786259542207e-02
3.499999999999999778e-01,9.009009009009009972e-02
4.000000000000000222e-01,1.176470588235294101e-01
4.500000000000000111e-01,1.388888888888888951e-01
5.000000000000000000e-01,1.587301587301587213e-01
5.500000000000000444e-01,1.818181818181818232e-01
5.999999999999999778e-01,2.040816326530612013e-01
6.500000000000000222e-01,2.272727272727272652e-01
6.999999999999999556e-01,2.564102564102564430e-01
7.500000000000000000e-01,2.777777777777777901e-01
8.000000000000000444e-01,3.030303030303030387e-01
8.499999999999999778e-01,3.225806451612903136e-01
9.000000000000000222e-01,3.571428571428571508e-01
9.499999999999999556e-01,3.703703703703703498e-01
1.000000000000000000e+00,4.000000000000000222e-01
