1.000000000000000056e-01,9.009009009009009972e-02
1.499999999999999944e-01,8.264462809917355601e-02
2.000000000000000111e-01,8.264462809917355601e-02
2.500000000000000000e-01,8.264462809917355601e-02
2.999999999999999889e-01,7.633587786259542207e-02
3.499999999999999778e-01,7.092198581560284210e-02
4.000000000000000222e-01,6.622516556291391243e-02
4.500000000000000111e-01,6.211180124223601717e-02
5.000000000000000000e-01,5.847953216374268681e-02
5.500000000000000444e-01,5.524861878453038444e-02
5.999999999999999778e-01,5.235602094240836973e-02
6.500000000000000222e-01,4.975124378109452294e-02
6.999999999999999556e-01,4.524886877828054182e-02
7.500000000000000000e-01,4.329004329004328827e-02
8.000000000000000444e-01,4.149377593360995681e-02
8.499999999999999778e-01,3.984063745019920250e-02
9.000000000000000222e-01,3.831417624521072512e-02
9.499999999999999556e-01,3.690036900369003670e-02
1.000000000000000000e+00,3.558718861209964057e-02
