# Toy model
# L=1e7, W=4.5
# Density rho_M for nonresonant islands of length M
# M rho_M

1 0.0360007
2 0.0273828
3 0.0202779
4 0.0145383
5 0.0102671
6 0.0072397
7 0.0050713
8 0.0035384
9 0.0024659
10 0.0017489
11 0.0012096
12 0.0008337
13 0.0005872
14 0.0004111
15 0.0002902
16 0.0001962
17 0.0001366
18 0.0001003
19 7.04e-05
20 4.69e-05
21 3.32e-05
22 2.37e-05
23 1.56e-05
24 1.1e-05
25 7e-06
26 6e-06
27 4.3e-06
28 2.4e-06
29 2.4e-06
30 9e-07
31 9e-07
32 8e-07
33 5e-07
34 3e-07
35 2e-07
 0
