# XXZ spin chain 
# DTP for L=24, Delta->0.0, omega_p=0.032985
# Integrated and normalized regular part of the optical conductivity I_reg(omega/omega_p) 
# omega/omega_p I_reg(omega/omega_p))

0.297408 0.00699301
0.298317 0.00699301
0.299227 0.00699301
0.300136 0.00699301
0.301046 0.00699301
0.301955 0.00699301
0.302865 0.00762873
0.303774 0.00762873
0.304684 0.00762873
0.305593 0.00762873
0.306503 0.00762873
0.307412 0.00762873
0.308322 0.00762873
0.309231 0.00762873
0.310141 0.00762873
0.31105 0.00762873
0.31196 0.00762873
0.312869 0.00762873
0.313779 0.00762873
0.314688 0.00826446
0.315598 0.00826446
0.316508 0.00826446
0.317417 0.00826446
0.318327 0.00826446
0.319236 0.00826446
0.320146 0.00826446
0.321055 0.00826446
0.321965 0.00826446
0.322874 0.00890019
0.323784 0.00890019
0.324693 0.00890019
0.325603 0.00890019
0.326512 0.00890019
0.327422 0.00953592
0.328331 0.00953592
0.329241 0.00953592
0.33015 0.00953592
0.33106 0.00953592
0.331969 0.00953592
0.332879 0.0101716
0.333788 0.0101716
0.334698 0.0101716
0.335607 0.0101716
0.336517 0.0101716
0.337426 0.0101716
0.338336 0.0108074
0.339245 0.0108074
0.340155 0.0108074
0.341064 0.0108074
0.341974 0.0108074
0.342883 0.0108074
0.343793 0.0114431
0.344702 0.0114431
0.345612 0.0114431
0.346521 0.0114431
0.347431 0.0120788
0.34834 0.0120788
0.34925 0.0120788
0.350159 0.0120788
0.351069 0.0127146
0.351978 0.0127146
0.352888 0.0127146
0.353797 0.0127146
0.354707 0.0127146
0.355616 0.0133503
0.356526 0.0133503
0.357435 0.0133503
0.358345 0.0133503
0.359254 0.0133503
0.360164 0.013986
0.361073 0.013986
0.361983 0.013986
0.362892 0.013986
0.363802 0.013986
0.364711 0.0146217
0.365621 0.0146217
0.36653 0.0146217
0.36744 0.0152575
0.368349 0.0152575
0.369259 0.0152575
0.370168 0.0158932
0.371078 0.0158932
0.371987 0.0158932
0.372897 0.0165289
0.373806 0.0165289
0.374716 0.0165289
0.375625 0.0165289
0.376535 0.0165289
0.377444 0.0171647
0.378354 0.0171647
0.379263 0.0171647
0.380173 0.0171647
0.381082 0.0178004
0.381992 0.0178004
0.382901 0.0178004
0.383811 0.0178004
0.38472 0.0178004
0.38563 0.0184361
0.386539 0.0184361
0.387449 0.0184361
0.388358 0.0184361
0.389268 0.0190718
0.390177 0.0190718
0.391087 0.0190718
0.391996 0.0197076
0.392906 0.0197076
0.393815 0.0197076
0.394725 0.0197076
0.395634 0.0197076
0.396544 0.0203433
0.397453 0.0203433
0.398363 0.0203433
0.399272 0.0203433
0.400182 0.0203433
0.401091 0.020979
0.402001 0.020979
0.40291 0.020979
0.40382 0.020979
0.404729 0.020979
0.405639 0.0216147
0.406548 0.0216147
0.407458 0.0216147
0.408367 0.0216147
0.409277 0.0222505
0.410186 0.0222505
0.411096 0.0222505
0.412005 0.0222505
0.412915 0.0228862
0.413824 0.0228862
0.414734 0.0228862
0.415643 0.0228862
0.416553 0.0235219
0.417462 0.0235219
0.418372 0.0235219
0.419281 0.0235219
0.420191 0.0235219
0.421101 0.0241577
0.42201 0.0241577
0.42292 0.0241577
0.423829 0.0241577
0.424739 0.0241577
0.425648 0.0241577
0.426558 0.0247934
0.427467 0.0247934
0.428377 0.0247934
0.429286 0.0247934
0.430196 0.0247934
0.431105 0.0254291
0.432015 0.0254291
0.432924 0.0254291
0.433834 0.0254291
0.434743 0.0260648
0.435653 0.0260648
0.436562 0.0260648
0.437472 0.0260648
0.438381 0.0267006
0.439291 0.0267006
0.4402 0.0267006
0.44111 0.0267006
0.442019 0.0273363
0.442929 0.0273363
0.443838 0.0273363
0.444748 0.027972
0.445657 0.027972
0.446567 0.027972
0.447476 0.0286078
0.448386 0.0286078
0.449295 0.0286078
0.450205 0.0286078
0.451114 0.0292435
0.452024 0.0292435
0.452933 0.0292435
0.453843 0.0298792
0.454752 0.0298792
0.455662 0.0305149
0.456571 0.0305149
0.457481 0.0305149
0.45839 0.0305149
0.4593 0.0311507
0.460209 0.0311507
0.461119 0.0311507
0.462028 0.0317864
0.462938 0.0317864
0.463847 0.0324221
0.464757 0.0324221
0.465666 0.0324221
0.466576 0.0330579
0.467485 0.0336936
0.468395 0.0336936
0.469304 0.0336936
0.470214 0.0336936
0.471123 0.0343293
0.472033 0.0343293
0.472942 0.0343293
0.473852 0.034965
0.474761 0.034965
0.475671 0.0356008
0.47658 0.0362365
0.47749 0.0362365
0.478399 0.0368722
0.479309 0.0368722
0.480218 0.0368722
0.481128 0.0375079
0.482037 0.0375079
0.482947 0.0381437
0.483856 0.0381437
0.484766 0.0387794
0.485675 0.0387794
0.486585 0.0394151
0.487494 0.0394151
0.488404 0.0400509
0.489313 0.0400509
0.490223 0.0400509
0.491132 0.0406866
0.492042 0.0406866
0.492951 0.0413223
0.493861 0.0413223
0.49477 0.041958
0.49568 0.041958
0.496589 0.0425938
0.497499 0.0425938
0.498408 0.0425938
0.499318 0.0432295
0.500227 0.0432295
0.501137 0.0438652
0.502046 0.0438652
0.502956 0.0438652
0.503865 0.044501
0.504775 0.044501
0.505684 0.0451367
0.506594 0.0457724
0.507503 0.0457724
0.508413 0.0457724
0.509322 0.0464081
0.510232 0.0464081
0.511141 0.0464081
0.512051 0.0470439
0.51296 0.0470439
0.51387 0.0470439
0.514779 0.0476796
0.515689 0.0476796
0.516598 0.0483153
0.517508 0.0483153
0.518417 0.048951
0.519327 0.048951
0.520236 0.048951
0.521146 0.048951
0.522055 0.0495868
0.522965 0.0495868
0.523874 0.0495868
0.524784 0.0502225
0.525693 0.0502225
0.526603 0.0502225
0.527513 0.0508582
0.528422 0.0508582
0.529332 0.051494
0.530241 0.051494
0.531151 0.0521297
0.53206 0.0521297
0.53297 0.0527654
0.533879 0.0527654
0.534789 0.0527654
0.535698 0.0534011
0.536608 0.0534011
0.537517 0.0534011
0.538427 0.0534011
0.539336 0.0540369
0.540246 0.0540369
0.541155 0.0546726
0.542065 0.0546726
0.542974 0.0553083
0.543884 0.0553083
0.544793 0.0553083
0.545703 0.0559441
0.546612 0.0559441
0.547522 0.0559441
0.548431 0.0559441
0.549341 0.0565798
0.55025 0.0565798
0.55116 0.0565798
0.552069 0.0572155
0.552979 0.0572155
0.553888 0.0578512
0.554798 0.0578512
0.555707 0.058487
0.556617 0.058487
0.557526 0.0591227
0.558436 0.0591227
0.559345 0.0597584
0.560255 0.0597584
0.561164 0.0603942
0.562074 0.0610299
0.562983 0.0610299
0.563893 0.0616656
0.564802 0.0623013
0.565712 0.0623013
0.566621 0.0623013
0.567531 0.0623013
0.56844 0.0629371
0.56935 0.0629371
0.570259 0.0629371
0.571169 0.0635728
