# Interacting fermions (rescaled model)
# L=14, W=100
# Probability distribution of gap ratio r 
# r P(r)
1.666666669999999906e-02 2.446106276999999996e-01
5.000000000000000278e-02 5.640836716999999556e-01
8.333333330000000649e-02 7.770613794999999824e-01
1.166666667000000046e-01 9.327886882000000490e-01
1.499999999999999944e-01 1.046803324899999943e+00
1.833333333000000120e-01 1.133878122500000085e+00
2.166666667000000102e-01 1.186240976299999916e+00
2.500000000000000000e-01 1.222061368699999928e+00
2.833333332999999898e-01 1.241961586700000009e+00
3.166666666999999880e-01 1.251581105799999927e+00
3.499999999999999778e-01 1.249454958699999896e+00
3.833333333000000231e-01 1.240341047800000096e+00
4.166666667000000213e-01 1.224576445100000077e+00
4.500000000000000111e-01 1.211346365300000061e+00
4.833333333000000009e-01 1.182747094400000032e+00
5.166666667000000546e-01 1.154400627500000054e+00
5.500000000000000444e-01 1.128109003899999907e+00
5.833333333000000342e-01 1.103820366499999928e+00
6.166666667000000324e-01 1.073555181499999955e+00
6.500000000000000222e-01 1.044871642499999975e+00
6.833333333000000120e-01 1.012143238399999978e+00
7.166666667000000102e-01 9.805362470999999802e-01
7.500000000000000000e-01 9.468873769000000218e-01
7.833333332999999898e-01 9.175556222999999845e-01
8.166666666999999880e-01 8.886711364999999585e-01
8.499999999999999778e-01 8.660160022999999763e-01
8.833333332999999676e-01 8.280305698000000048e-01
9.166666666999999658e-01 8.084803882000000108e-01
9.499999999999999556e-01 7.818970677000000036e-01
9.833333332999999454e-01 7.554887652999999759e-01
