# Interacting fermions (rescaled model)
# L=12, W=100
# Probability distribution of gap ratio r 
# r P(r)
1.666666669999999906e-02 2.967396676999999872e-01
5.000000000000000278e-02 6.605225836000000461e-01
8.333333330000000649e-02 8.843554447000000485e-01
1.166666667000000046e-01 1.034990744299999932e+00
1.499999999999999944e-01 1.138475281000000061e+00
1.833333333000000120e-01 1.201617566799999981e+00
2.166666667000000102e-01 1.241644833100000067e+00
2.500000000000000000e-01 1.261391940900000064e+00
2.833333332999999898e-01 1.268273141699999940e+00
3.166666666999999880e-01 1.258702457500000094e+00
3.499999999999999778e-01 1.244867367299999916e+00
3.833333333000000231e-01 1.235999341000000085e+00
4.166666667000000213e-01 1.205978891200000014e+00
4.500000000000000111e-01 1.181555474400000083e+00
4.833333333000000009e-01 1.151946927500000051e+00
5.166666667000000546e-01 1.137045735799999902e+00
5.500000000000000444e-01 1.092317930899999956e+00
5.833333333000000342e-01 1.063969322099999948e+00
6.166666667000000324e-01 1.028036854800000066e+00
6.500000000000000222e-01 1.000705888399999965e+00
6.833333333000000120e-01 9.660818183999999587e-01
7.166666667000000102e-01 9.400107902000000015e-01
7.500000000000000000e-01 9.178649540000000107e-01
7.833333332999999898e-01 8.817628795999999936e-01
8.166666666999999880e-01 8.487379618999999487e-01
8.499999999999999778e-01 8.197836136999999690e-01
8.833333332999999676e-01 7.962082322000000323e-01
9.166666666999999658e-01 7.709852392999999582e-01
9.499999999999999556e-01 7.437754209000000394e-01
9.833333332999999454e-01 7.256516949000000327e-01
