# Interacting fermions (rescaled model)
# L=12, W=2.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
9.000788292874663254e-02 3.714472220311426098e-01
1.034418774887099213e-01 2.711564720827338348e+00
1.168758720486731961e-01 7.911825829263337440e+00
1.303098666086364710e-01 1.324209346541021937e+01
1.437438611685997736e-01 1.288921860448064649e+01
1.571778557285630207e-01 1.131056791084829172e+01
1.706118502885263233e-01 8.171838884685120874e+00
1.840458448484895981e-01 5.757431941482721527e+00
1.974798394084528730e-01 4.104491803444116904e+00
2.109138339684161756e-01 2.507268748710212325e+00
2.243478285283794227e-01 1.801519026851041483e+00
2.377818230883427253e-01 1.225775832702770574e+00
2.512158176483059724e-01 6.314602774529424201e-01
2.646498122082692750e-01 7.243220829607265321e-01
2.780838067682325221e-01 3.343024998280290649e-01
2.915178013281958247e-01 2.600130554217993106e-01
3.049517958881591273e-01 2.228683332186850996e-01
3.183857904481224299e-01 7.428944440622867185e-02
3.318197850080856215e-01 9.286180550778583287e-02
3.452537795680489241e-01 3.714472220311418327e-02
3.586877741280122267e-01 0.000000000000000000e+00
3.721217686879755293e-01 3.714472220311418327e-02
3.855557632479388319e-01 0.000000000000000000e+00
3.989897578079020790e-01 0.000000000000000000e+00
4.124237523678653261e-01 1.857236110155701184e-02
