# Interacting fermions (rescaled model)
# L=10, W=2.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
1.342654977521028914e-01 1.773301304115278698e-01
1.567772725914922671e-01 1.041814516167726801e+00
1.792890474308816429e-01 3.513353208778393633e+00
2.018008222702710741e-01 6.051390700293384661e+00
2.243125971096604498e-01 7.603029341394261564e+00
2.468243719490498256e-01 6.849376287145267916e+00
2.693361467884392013e-01 5.774312371525365251e+00
2.918479216278286326e-01 4.344588195082435433e+00
3.143596964672180083e-01 3.047861616448137134e+00
3.368714713066073840e-01 2.127961564938335659e+00
3.593832461459968153e-01 1.241310912880692952e+00
3.818950209853861910e-01 7.869024537011554132e-01
4.044067958247755668e-01 5.874060569881863758e-01
4.269185706641649425e-01 4.765747254809802880e-01
4.494303455035543737e-01 2.992445950694535006e-01
4.719421203429437495e-01 2.105795298636894686e-01
4.944538951823331252e-01 1.440807309593664653e-01
5.169656700217224454e-01 6.649879890432298934e-02
5.394774448611119322e-01 2.216626630144099760e-02
5.619892197005011969e-01 1.108313315072049880e-02
5.845009945398906837e-01 3.324939945216149467e-02
6.070127693792800594e-01 0.000000000000000000e+00
6.295245442186694351e-01 0.000000000000000000e+00
6.520363190580589219e-01 0.000000000000000000e+00
6.745480938974481866e-01 1.108313315072049880e-02
