# Interacting fermions (rescaled model)
# L=16, W=2.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
3.282880560639925976e-02 5.136547857108376469e+00
3.766620364743766131e-02 2.367481603230862675e+01
4.250360168847606285e-02 4.109238285686704018e+01
4.734099972951446439e-02 4.081220751920658785e+01
5.217839777055286593e-02 3.147302959719134918e+01
5.701579581159127441e-02 2.026601609077303578e+01
6.185319385262967595e-02 1.428894222068329256e+01
6.669059189366807749e-02 1.045987927265706574e+01
7.152798993470649291e-02 5.183243746718456002e+00
7.636538797574488058e-02 4.669588961007618444e+00
8.120278601678329600e-02 3.782367058416171268e+00
8.604018405782168366e-02 2.148010922063504413e+00
9.087758209886009908e-02 1.214093129861977260e+00
9.571498013989851450e-02 1.260789019472057015e+00
1.005523781809369022e-01 4.202630064906856533e-01
1.053897762219753176e-01 3.735671168806094511e-01
1.102271742630137052e-01 1.867835584403047255e-01
1.150645723040521207e-01 4.669588961007618139e-02
1.199019703450905083e-01 1.400876688302285511e-01
1.247393683861289237e-01 0.000000000000000000e+00
1.295767664271673114e-01 4.669588961007604955e-02
1.344141644682057268e-01 0.000000000000000000e+00
1.392515625092441423e-01 0.000000000000000000e+00
1.440889605502825299e-01 0.000000000000000000e+00
1.489263585913209176e-01 4.669588961007604955e-02
