# Interacting fermions (standard model)
# L=14, Delta=1
# Norm of projected interaction (true perturbation to Anderson insulator). Each column except 1.(W) is a line in Figure.
# W ||N_i^perp||^2...
1.000000000000000000e+00 6.107448085990228870e-02 5.294075344995578802e-02 5.542436716023709659e-02 5.875479679432021179e-02 5.358062419126734949e-02 6.070093543768296379e-02 6.089511056945253603e-02 6.086089922658034779e-02 5.618062426635300755e-02 5.964693718697340608e-02 6.196405086874527679e-02 6.213249568187412253e-02 6.190705156237073098e-02 5.894014199077628885e-02 6.134143885288311643e-02 3.014450134323930219e-02 5.573355468365705917e-02 5.390064526626562463e-02 5.424611755187205148e-02 5.280477652274136874e-02
2.000000000000000000e+00 5.615622434093966997e-02 5.095838280993322117e-02 4.416306255459908486e-02 4.792709599007188154e-02 2.919302748177565396e-02 6.030233895964744878e-02 5.781239205545501969e-02 5.365603883977627941e-02 4.789816457203034672e-02 5.746136016504605620e-02 4.503543478084497814e-02 4.474738888555927080e-02 5.538034948623121734e-02 4.799127740976616430e-02 5.349149072917563225e-02 7.419478498805098972e-03 3.815046347829496171e-02 1.606079102103544556e-02 1.984927807590115140e-02 2.552643187427232688e-02
3.000000000000000000e+00 4.368652019879314813e-02 4.385563887853050069e-02 2.005396279236022761e-02 1.694341318649556644e-02 1.283025537500237512e-02 4.392496619371708683e-02 5.271759234636941294e-02 4.928771617245020914e-02 4.042832614710529376e-02 5.115725189708047321e-02 3.861808505213044224e-02 3.810559532796095605e-02 4.859853097105502895e-02 5.179352785300168904e-02 5.401139833946422275e-02 2.097148002200689785e-03 3.535052912790502544e-02 8.349698523211017062e-03 7.025802366201533769e-03 1.077555259864102465e-02
4.000000000000000000e+00 3.641245764829161013e-02 4.537306489784594804e-02 2.425334309961189524e-02 7.379205227756207783e-03 7.440538999031309081e-03 4.396931454767693398e-02 4.174992872340805433e-02 4.100038629563564768e-02 1.588307359613964909e-02 3.838339393284097290e-02 4.718444059971684673e-02 4.937580659232096436e-02 4.528679371216359772e-02 3.529964325607564540e-02 3.989995727176938456e-02 1.130137099623139190e-03 3.454706360550720973e-02 5.094283698673575389e-03 3.671566782777679720e-03 6.037616607043100672e-03
5.000000000000000000e+00 3.003795029585664203e-02 3.698535427526144365e-02 6.712049911035041991e-03 4.087454193942392441e-03 4.812687509630531740e-03 3.054857795073891852e-02 1.876562181422150241e-02 3.293920072536671989e-02 9.601092652183279910e-03 3.490611902506028652e-02 1.681590743194920010e-02 2.650018982408651816e-02 4.039760767361334770e-02 2.904405970187359451e-02 3.399001181975005309e-02 7.134160223846644630e-04 3.413780368918585550e-02 3.404679978153765749e-03 2.268623933051250839e-03 3.871964493720419023e-03
6.000000000000000000e+00 2.442000214246662845e-02 3.552299084237710292e-02 4.530354900683977379e-03 2.595348224160335619e-03 3.355093389997761046e-03 2.715947454637818170e-02 1.217252866557916140e-02 2.890312444644323533e-02 6.579333802492007451e-03 3.340102109673701025e-02 1.219565039943820879e-02 2.363158549083594143e-02 3.700076722007605845e-02 2.748376499197106512e-02 3.067046828393125979e-02 4.921475940425520902e-04 3.387395364034693351e-02 2.424785671038239346e-03 1.545278823397999712e-03 2.695732675456195045e-03
8.000000000000000000e+00 1.600283365102178612e-02 3.414724534829539221e-02 2.536874115433446382e-03 1.319748808830613742e-03 1.890146742943476588e-03 2.277777366191718195e-02 6.952555427543143270e-03 2.401835164200812750e-02 3.673224301384022880e-03 3.174814465058818647e-02 7.103344059806625081e-03 1.956833807703937250e-02 2.837996895892549304e-02 2.142263623707916717e-02 2.469494178330279219e-02 2.751349550320562713e-04 3.350029611500749543e-02 1.400388566068143771e-03 8.525618590864044973e-04 1.522016786773425657e-03
1.000000000000000000e+01 1.091605508323737275e-02 3.361397438653238728e-02 1.622863199929650306e-03 8.017313591122932591e-04 1.209372223611746748e-03 1.934449057405393871e-02 7.047657534369439897e-03 2.202479475293036074e-02 2.343939532377695492e-03 3.067283205721013303e-02 4.588501407175561535e-03 1.637912361409487802e-02 2.192067744529422810e-02 1.704237124735134487e-02 1.943762845032370040e-02 1.756090280723420231e-04 3.318130165271278992e-02 9.076664147206569113e-04 5.407528273001932246e-04 9.762088382754128451e-04
1.500000000000000000e+01 5.101985550965985362e-03 3.318136562640637555e-02 7.211102248650796400e-04 3.369872437944155001e-04 5.369736874320872166e-04 1.276610090097297923e-02 1.494604847486304296e-03 1.283051277267109082e-02 1.038435258243349110e-03 2.699736765974680361e-02 2.046020923666183860e-03 1.064622926198869474e-02 1.082695921627669505e-02 8.685794556310903747e-03 9.786346875658392605e-03 7.784520154299419176e-05 3.232218453876865849e-02 4.086021890218002081e-04 2.382031356324415940e-04 4.349318909000309398e-04
2.000000000000000000e+01 2.907631998731180587e-03 3.298047387384657470e-02 4.055896137054207200e-04 1.856726364098731040e-04 3.018891290143533006e-04 8.711764876087954232e-03 8.172667027907658819e-04 8.730704479389648359e-03 5.834268611919070195e-04 2.351268245647623184e-02 1.150574787074484275e-03 7.176310716153267745e-03 5.460310972558646801e-03 4.359128502165058976e-03 4.903884973146737519e-03 4.374871207544749085e-05 3.127232547442890254e-02 2.308865717524867707e-04 1.335714615899289575e-04 2.448763021266940967e-04
