# Heisenberg model
# L=14, J=1, W=2.5
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e2
1.010000000000000000e+02 5.176208057991797951e+00
2.010000000000000000e+02 6.679272189189632947e+00
3.010000000000000000e+02 7.452934007958930351e+00
4.010000000000000000e+02 7.904370336017418452e+00
5.010000000000000000e+02 8.044292089169681859e+00
6.010000000000000000e+02 8.196887885503167936e+00
7.010000000000000000e+02 8.270213559143449800e+00
8.010000000000000000e+02 8.385732199369615003e+00
9.010000000000000000e+02 8.482331670904097010e+00
1.001000000000000000e+03 8.639710533793053315e+00
1.101000000000000000e+03 8.728946927378171239e+00
