# Transverse-field Ising model
# L=12, J=1, f=0.5, W_J=0.2, W=0.9
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e4
1.010000000000000000e+02 1.526628169742554608e-01
2.010000000000000000e+02 3.073402512110086637e-01
3.010000000000000000e+02 4.570638644495245151e-01
4.010000000000000000e+02 6.042926363072725904e-01
5.010000000000000000e+02 7.617119994394357940e-01
6.010000000000000000e+02 9.038064516872343912e-01
7.010000000000000000e+02 1.037567975936340314e+00
8.010000000000000000e+02 1.184702116465372379e+00
9.010000000000000000e+02 1.309145376563038532e+00
1.001000000000000000e+03 1.458427044801548833e+00
1.101000000000000000e+03 1.580720650181134612e+00
1.201000000000000000e+03 1.673714310808416483e+00
1.301000000000000000e+03 1.791406529760858124e+00
