# Random field Heisenberg chain
# L=14, J=1, Delta=1, W=2.0, h_i in [-W,W]
# Cumulative distribution function (CDF) of the fitting parameter tau_max; for 10^3 realizations of the disorder
# tau_max CDF

20.00017821498766 0.00111235
20.00029225575654 0.00222469
20.000487913226706 0.00333704
20.000549045644167 0.00444939
21.007406249843886 0.00556174
23.784101622975655 0.00667408
30.598991673685894 0.00778643
37.08590705741055 0.00889878
38.037661276690635 0.0100111
39.535180994745865 0.0111235
42.96399217965936 0.0122358
47.99015220551071 0.0133482
49.362816445398146 0.0144605
53.92113576392832 0.0155729
54.568650786450874 0.0166852
54.727287657768116 0.0177976
58.507979867294516 0.0189099
58.54501055287551 0.0200222
62.300598516785726 0.0211346
63.90021005306698 0.0222469
64.34807247449085 0.0233593
64.39618177105694 0.0244716
65.26218431036077 0.025584
66.1436283748428 0.0266963
67.07275965449 0.0278087
67.23994923813429 0.028921
67.41587304864473 0.0300334
71.25537848638159 0.0311457
72.13018891934807 0.0322581
73.0665476061141 0.0333704
73.70310884915584 0.0344828
74.18805693891711 0.0355951
74.81984470192171 0.0367075
75.92751660879878 0.0378198
76.95202721748706 0.0389321
77.16621277933373 0.0400445
77.51676747469543 0.0411568
78.18511598704534 0.0422692
81.05475261484727 0.0433815
81.05984037819775 0.0444939
82.64484589884043 0.0456062
83.62941828654449 0.0467186
84.1502176477677 0.0478309
84.26362245319898 0.0489433
84.40216462074584 0.0500556
85.45329977060628 0.051168
86.15421308330218 0.0522803
86.88045289983556 0.0533927
87.83999410792718 0.054505
89.39269059964468 0.0556174
89.40813260174274 0.0567297
89.9492753298767 0.057842
89.95628948821953 0.0589544
91.14803108036641 0.0600667
91.67858304491915 0.0611791
92.45937543296434 0.0622914
93.3877964605526 0.0634038
94.47351794283398 0.0645161
98.01979791107678 0.0656285
98.21194598358116 0.0667408
98.30337694003524 0.0678532
100.35559296937873 0.0689655
100.68984801590618 0.0700779
101.30434307715363 0.0711902
101.43351764555928 0.0723026
102.27039770425337 0.0734149
104.42732317137148 0.0745273
105.31034074630256 0.0756396
105.35779419148186 0.0767519
105.93084406553689 0.0778643
106.72225726732759 0.0789766
107.12282214646383 0.080089
109.17389189285313 0.0812013
109.64314070480765 0.0823137
110.12979855583129 0.083426
111.19234922554124 0.0845384
111.99538075660303 0.0856507
112.58786474821875 0.0867631
112.66164590169492 0.0878754
112.661681490016 0.0889878
113.78938177580022 0.0901001
114.8865661425735 0.0912125
115.24752022505766 0.0923248
115.45918872990204 0.0934372
116.08171951744903 0.0945495
116.98868131976829 0.0956618
117.46689819655661 0.0967742
118.00487432871863 0.0978865
118.24993347942822 0.0989989
118.74685296106229 0.100111
121.57917502566686 0.101224
122.4645259821777 0.102336
122.82543449606648 0.103448
123.0997798476101 0.104561
123.9560713295673 0.105673
124.71963877119448 0.106785
125.08287980941184 0.107898
125.3514692442112 0.10901
125.79161636451502 0.110122
126.40880451363448 0.111235
128.1872421476325 0.112347
129.58610338390972 0.113459
129.8189505601032 0.114572
129.8310250313493 0.115684
130.07974373811092 0.116796
130.9953492190976 0.117909
131.47679992109826 0.119021
132.2009942506258 0.120133
134.55121146751708 0.121246
135.35205324731527 0.122358
136.02077736565096 0.123471
136.4282214306196 0.124583
136.73374412918832 0.125695
137.49007590902508 0.126808
137.53355670572859 0.12792
138.36320207618311 0.129032
138.70792653592616 0.130145
138.9362184763176 0.131257
139.51456686705666 0.132369
140.33857220410576 0.133482
140.74700256907337 0.134594
141.03602606355767 0.135706
141.4850735247673 0.136819
142.02444030938676 0.137931
142.14089025053357 0.139043
142.29866395669015 0.140156
143.65932732966752 0.141268
144.69806596592943 0.14238
145.89698796213304 0.143493
146.3337548748297 0.144605
148.39592204760413 0.145717
148.54475065339162 0.14683
149.36121163749874 0.147942
150.00554134849256 0.149055
150.09590670679287 0.150167
151.06666066205207 0.151279
151.4229551104409 0.152392
152.23599391229013 0.153504
153.6577638712136 0.154616
155.09274658816216 0.155729
155.55023127706602 0.156841
157.99353593476707 0.157953
160.52615804361614 0.159066
160.74283135044402 0.160178
161.01278730269422 0.16129
161.58517269149712 0.162403
161.73599280369945 0.163515
162.0021888443961 0.164627
162.91507531606646 0.16574
163.10354729184385 0.166852
163.1654482862201 0.167964
163.3348812974339 0.169077
163.57282311753033 0.170189
163.82797067896834 0.171301
164.75734178993105 0.172414
165.04873538505316 0.173526
165.4695164257764 0.174638
165.60254080438332 0.175751
165.85764118716608 0.176863
166.15218718720797 0.177976
167.43215652868784 0.179088
167.8324338922796 0.1802
168.13079206787816 0.181313
168.47707030336352 0.182425
168.8938666186679 0.183537
169.1469945905108 0.18465
169.22808216233625 0.185762
169.7372860529292 0.186874
170.98228952955043 0.187987
172.32456017806828 0.189099
173.0380822829643 0.190211
173.6221707129076 0.191324
174.47606122709075 0.192436
174.99414662296988 0.193548
175.06642449331548 0.194661
175.24129473541652 0.195773
175.6371623317602 0.196885
175.88984090908866 0.197998
176.13045783395125 0.19911
176.35811217927733 0.200222
176.7163779343071 0.201335
180.61129282509546 0.202447
181.0935415290643 0.20356
183.2362061882014 0.204672
183.31873914113234 0.205784
183.3779486090008 0.206897
183.4502526853172 0.208009
183.54713516554276 0.209121
185.0487952639942 0.210234
186.86194855087146 0.211346
186.9328452992524 0.212458
187.7313951594609 0.213571
189.24713173596328 0.214683
189.47766811094334 0.215795
189.7176044966147 0.216908
191.05253871126118 0.21802
191.42362228973136 0.219132
193.09041315480226 0.220245
193.57998843179394 0.221357
194.91127287888605 0.222469
195.29900147775174 0.223582
195.3842595271485 0.224694
195.4185336534463 0.225806
196.70290907159102 0.226919
197.4729104228077 0.228031
198.9742860669928 0.229143
199.5060221005463 0.230256
201.38332882079234 0.231368
202.31357446177677 0.232481
203.53018452179876 0.233593
204.88111401816835 0.234705
205.64132553723599 0.235818
206.1267894521976 0.23693
206.59885179290364 0.238042
206.95385838942593 0.239155
208.2442879131582 0.240267
209.11335864630618 0.241379
210.9710709416448 0.242492
213.03223357483398 0.243604
214.09942193472395 0.244716
214.58546890384454 0.245829
215.2446300333804 0.246941
215.44891786911876 0.248053
216.77146466295667 0.249166
218.89231338817808 0.250278
219.34489156246406 0.25139
219.36528209186287 0.252503
219.73288270902808 0.253615
221.1402206981621 0.254727
222.8790636714027 0.25584
222.9649700205284 0.256952
223.20375496720388 0.258065
223.99187883068348 0.259177
224.81006835314994 0.260289
224.88581690611733 0.261402
226.27724670085718 0.262514
226.55260713300078 0.263626
229.5868900591768 0.264739
229.85640476829607 0.265851
229.96297831499885 0.266963
229.99046864179962 0.268076
230.0145338600439 0.269188
230.8606482962058 0.2703
231.6188672404241 0.271413
232.01256434450613 0.272525
233.04963120806843 0.273637
233.39929501876816 0.27475
233.9625083779194 0.275862
234.75614806320232 0.276974
235.53737686062038 0.278087
236.29725443393315 0.279199
236.76088511845552 0.280311
236.86091137966437 0.281424
237.43075673444062 0.282536
237.45063507874121 0.283648
237.53955190626283 0.284761
238.71742614576843 0.285873
238.73157935574815 0.286986
239.65960104683901 0.288098
240.00255029249556 0.28921
240.8211490145657 0.290323
240.86603983848872 0.291435
241.83643814573443 0.292547
243.0166071702927 0.29366
245.16107405084557 0.294772
246.1263280652466 0.295884
246.13750749260393 0.296997
246.2760956000977 0.298109
247.14645126138032 0.299221
247.28995073522955 0.300334
247.56833845413567 0.301446
247.60077819884864 0.302558
248.57687414325463 0.303671
248.82675067557264 0.304783
249.54911412136568 0.305895
249.62563153339067 0.307008
250.49622074735737 0.30812
251.08171049939946 0.309232
251.66837438564986 0.310345
254.3176499148718 0.311457
255.62864839278024 0.31257
256.6469256219557 0.313682
257.8482563880264 0.314794
260.9779258370935 0.315907
261.355683870226 0.317019
261.44470288830354 0.318131
261.6429766117599 0.319244
261.6999073850535 0.320356
261.87425824129906 0.321468
263.3858211959433 0.322581
263.56261231018607 0.323693
263.5671505201702 0.324805
263.58792709494094 0.325918
263.98779548754385 0.32703
265.1440899412584 0.328142
265.3872125088275 0.329255
266.85459335900345 0.330367
268.02316433044035 0.331479
268.3677445474497 0.332592
268.8855840111793 0.333704
269.19487629683954 0.334816
269.2075726685832 0.335929
269.60365881568987 0.337041
270.81645745859913 0.338154
270.9065090130122 0.339266
271.1103336919284 0.340378
271.35503087072743 0.341491
271.4049235813443 0.342603
271.75258425179726 0.343715
272.7972944408038 0.344828
272.9451992055019 0.34594
273.7800699203061 0.347052
273.97013748860553 0.348165
274.05057947991173 0.349277
274.2255752182227 0.350389
274.7805037087396 0.351502
275.88447733846306 0.352614
276.47371423056364 0.353726
276.7231540031503 0.354839
277.4487454382431 0.355951
278.15365839148023 0.357063
278.4861502110338 0.358176
278.7610887790187 0.359288
280.3087255614055 0.3604
280.4025116064235 0.361513
280.61704829555333 0.362625
280.6233853142833 0.363737
281.1747752798378 0.36485
282.9514772798739 0.365962
283.0045130836109 0.367075
283.9662475660438 0.368187
284.30834192345486 0.369299
285.42525255133296 0.370412
286.3736481336642 0.371524
287.2125525513954 0.372636
288.60977748621076 0.373749
289.13680134810096 0.374861
289.67398056336526 0.375973
289.9925567044675 0.377086
291.4825467879706 0.378198
291.7819481064429 0.37931
292.34046202336947 0.380423
293.1406799987152 0.381535
293.19642229462085 0.382647
293.48485916435334 0.38376
293.684963584792 0.384872
294.35187005854954 0.385984
294.4107179172096 0.387097
295.7806218169032 0.388209
296.1192947221106 0.389321
296.2594574196831 0.390434
297.4285580865355 0.391546
298.1555455367203 0.392659
300.1720117682264 0.393771
300.5719066420582 0.394883
300.81590197603407 0.395996
301.32051632753826 0.397108
301.61025333207624 0.39822
301.78638569714934 0.399333
302.18200702632066 0.400445
302.53769078981685 0.401557
303.3382826731485 0.40267
303.59006461081356 0.403782
307.1244315163222 0.404894
307.43914381521586 0.406007
308.10970562292607 0.407119
308.4500657467955 0.408231
308.82660568914986 0.409344
309.273183520917 0.410456
309.36255698817143 0.411568
309.6692330970606 0.412681
310.81701171563856 0.413793
311.7399230607159 0.414905
312.05778359150077 0.416018
312.06472189388586 0.41713
312.3033660801357 0.418242
313.7986770089743 0.419355
313.8267339084349 0.420467
314.30882116874756 0.42158
314.6616162376307 0.422692
314.694077620568 0.423804
315.2017601665941 0.424917
