# J1-J2 AHM model
# L = 18, J = 1.0, Delta = 0.6
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 2.14943e-06
1 9.9999999999999995E-007 1.06013e-05
1 1.9999999999999999E-006 2.6902e-05
1 3.0000000000000001E-006 2.8336e-05
1 3.9999999999999998E-006 2.92411e-05
1 5.0000000000000004E-006 2.9878e-05
1 6.0000000000000002E-006 3.65362e-05
1 6.9999999999999999E-006 5.31944e-05
1 7.9999999999999996E-006 5.79588e-05
1 9.0000000000000002E-006 6.02215e-05
1 1.0000000000000001E-005 6.21429e-05
1 1.1000000000000000E-005 6.4756e-05
1 1.2000000000000000E-005 6.61324e-05
1 1.2999999999999999E-005 8.7511e-05
1 1.4000000000000000E-005 9.50989e-05
1 1.5000000000000000E-005 9.88487e-05
1 1.5999999999999999E-005 9.99256e-05
1 1.7000000000000000E-005 0.000100105
1 1.8000000000000000E-005 0.000108631
1 1.9000000000000001E-005 0.000115441
1 2.0000000000000002E-005 0.000125213
1 2.0999999999999999E-005 0.000125422
1 2.1999999999999999E-005 0.000128311
1 2.3000000000000000E-005 0.000132507
1 2.4000000000000001E-005 0.000136608
1 2.5000000000000001E-005 0.000139511
1 2.5999999999999998E-005 0.000139999
1 2.6999999999999999E-005 0.00014149
1 2.8000000000000000E-005 0.000154551
1 2.9000000000000000E-005 0.000156133
1 3.0000000000000001E-005 0.000159019
1 3.1000000000000001E-005 0.000161095
1 3.1999999999999999E-005 0.000163791
1 3.3000000000000003E-005 0.000164784
1 3.4000000000000000E-005 0.000182016
1 3.4999999999999997E-005 0.000183987
1 3.6000000000000001E-005 0.000185991
1 3.6999999999999998E-005 0.000189954
1 3.8000000000000002E-005 0.000189969
1 3.8999999999999999E-005 0.000198477
1 4.0000000000000003E-005 0.000199726
1 4.1000000000000000E-005 0.000221752
1 4.1999999999999998E-005 0.000223949
1 4.3000000000000002E-005 0.000227104
1 4.3999999999999999E-005 0.000234842
1 4.5000000000000003E-005 0.000236032
1 4.6000000000000000E-005 0.000241057
1 4.6999999999999997E-005 0.000245625
1 4.8000000000000001E-005 0.000247147
1 4.8999999999999998E-005 0.000249228
1 5.0000000000000002E-005 0.000250133
1 5.1000000000000000E-005 0.000252829
1 5.1999999999999997E-005 0.000255731
1 5.3000000000000001E-005 0.000262935
1 5.3999999999999998E-005 0.000266053
1 5.5000000000000002E-005 0.000269823
1 5.5999999999999999E-005 0.000271696
1 5.7000000000000003E-005 0.000272951
1 5.8000000000000000E-005 0.000276695
1 5.8999999999999998E-005 0.00027938
1 6.0000000000000002E-005 0.000285829
1 6.0999999999999999E-005 0.000293
1 6.2000000000000003E-005 0.000334001
1 6.3000000000000000E-005 0.000336311
1 6.3999999999999997E-005 0.000341521
1 6.4999999999999994E-005 0.000341622
1 6.6000000000000005E-005 0.000342809
1 6.7000000000000002E-005 0.0003486
1 6.7999999999999999E-005 0.000349601
1 6.8999999999999997E-005 0.000353679
1 6.9999999999999994E-005 0.000355834
1 7.1000000000000005E-005 0.000357379
1 7.2000000000000002E-005 0.000359943
1 7.2999999999999999E-005 0.000363842
1 7.3999999999999996E-005 0.000574609
1 7.4999999999999993E-005 0.000575914
1 7.6000000000000004E-005 0.000578768
1 7.7000000000000001E-005 0.000583334
1 7.7999999999999999E-005 0.000589973
1 7.8999999999999996E-005 0.00059605
1 8.0000000000000007E-005 0.000597931
1 8.1000000000000004E-005 0.000600618
1 8.2000000000000001E-005 0.0006012
1 8.2999999999999998E-005 0.000605375
1 8.3999999999999995E-005 0.000607047
1 8.5000000000000006E-005 0.000607921
1 8.6000000000000003E-005 0.000610054
1 8.7000000000000001E-005 0.000616271
1 8.7999999999999998E-005 0.000621701
1 8.8999999999999995E-005 0.000622966
1 9.0000000000000006E-005 0.000624818
1 9.1000000000000003E-005 0.000631953
1 9.2000000000000000E-005 0.000639446
1 9.2999999999999997E-005 0.000643361
1 9.3999999999999994E-005 0.000644172
1 9.5000000000000005E-005 0.000652743
1 9.6000000000000002E-005 0.000659647
1 9.7000000000000000E-005 0.000660355
1 9.7999999999999997E-005 0.0006626
1 9.8999999999999994E-005 0.000664005
1 1.0000000000000000E-004 0.000667061
1 1.1000000000000000E-004 0.000689013
1 1.2000000000000000E-004 0.000725647
1 1.2999999999999999E-004 0.000770306
1 1.3999999999999999E-004 0.000804141
1 1.4999999999999999E-004 0.000844336
1 1.6000000000000001E-004 0.00105085
1 1.7000000000000001E-004 0.0010808
1 1.8000000000000001E-004 0.00112512
1 1.9000000000000001E-004 0.00116027
1 2.0000000000000001E-004 0.00123014
1 2.1000000000000001E-004 0.00127974
1 2.2000000000000001E-004 0.00162541
1 2.3000000000000001E-004 0.00168344
1 2.4000000000000001E-004 0.00172841
1 2.5000000000000001E-004 0.00183109
1 2.5999999999999998E-004 0.00185966
1 2.7000000000000000E-004 0.00190434
1 2.7999999999999998E-004 0.00193833
1 2.9000000000000000E-004 0.00204197
1 2.9999999999999997E-004 0.00212691
1 3.1000000000000000E-004 0.00225401
