# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.153223
1 0.0579672
1.5 0.0164392
2 0.00416205
2.5 0.00131474
3 0.000435657
3.5 0.000140161
4 6.3797e-05
4.5 3.49785e-05
5 1.94775e-05
5.5 1.86615e-05
6 1.27794e-05
