# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.164296
1 0.0665549
1.5 0.0237347
2 0.00693724
2.5 0.00199368
3 0.000595278
3.5 0.000135841
4 4.58394e-05
4.5 2.23562e-05
5 1.66354e-05
5.5 1.53067e-05
6 9.42384e-06
