# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.150982
1 0.058875
1.5 0.0133864
2 0.00272015
2.5 0.000445921
3 6.7847e-05
3.5 2.72464e-05
4 1.29086e-05
4.5 9.45902e-06
5 7.24979e-06
5.5 6.58425e-06
6 5.75744e-06
