# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.148258
1 0.0581838
1.5 0.0174817
2 0.00370838
2.5 0.000540177
3 0.000150168
3.5 6.89163e-05
4 2.9453e-05
4.5 2.43162e-05
5 1.40794e-05
5.5 1.10014e-05
6 1.09534e-05
