# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.163744
1 0.0450832
1.5 0.015308
2 0.00342037
2.5 0.000599084
3 0.000179769
3.5 6.3768e-05
4 3.15501e-05
4.5 2.12166e-05
5 2.03247e-05
5.5 1.31222e-05
6 1.09663e-05
