# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.169809
1 0.0645415
1.5 0.0198848
2 0.00612867
2.5 0.00143013
3 0.000228738
3.5 5.79463e-05
4 2.34834e-05
4.5 1.62168e-05
5 9.60932e-06
5.5 9.46871e-06
6 7.79834e-06
