# XXZ chain with grandcanonical averaging over the Hilbert space
# L=14, J=1, Delta \to 0.0
# Relative difference, Err_A, between the ED results and the perturbative approach for A=J_s
# |Delta-Delta_c| Err_A

0.01 9.70638e-05
0.001 9.7035e-07
0.0001 9.69322e-09
1e-05 9.24376e-11
0.03 0.000875656
0.06 0.00353004
0.09 0.008039
0.2 0.041735
