# XXZ chain with grandcanonical averaging over the Hilbert space
# L=12, J=1, Delta \to 0.0
# Relative difference, Err_A, between the ED results and the perturbative approach for A=J_s
# |Delta-Delta_c| Err_A

0.01 8.43641e-05
0.001 8.43453e-07
0.0001 8.42478e-09
1e-05 8.31418e-11
0.03 0.000760642
0.06 0.00306074
0.09 0.00695252
0.2 0.0360824
