# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=1, W=5.0
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# L <r>
1.000000000000000000e+01 4.713366851402499558e-01
1.200000000000000000e+01 4.763552969576334006e-01
1.400000000000000000e+01 4.879844746779249953e-01
1.600000000000000000e+01 5.022134240180249343e-01
