# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=1, W=4.0
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# L <r>
1.000000000000000000e+01 4.981165315910499602e-01
1.200000000000000000e+01 5.082116920009667194e-01
1.400000000000000000e+01 5.195541458155998882e-01
1.600000000000000000e+01 5.272295678551499609e-01
