# Hubbard model
# L=14, t_h=1, m_{av}=0
# Charge stiffness D_c from perturbation approach
# n_{av} D_c

0 0.0000
0.0714286 0.1429
0.142857 0.2799
0.214286 0.3941
0.285714 0.5005
0.357143 0.5825
0.428571 0.6530
0.5 0.6956
0.571429 0.7199
0.642857 0.7089
0.714286 0.6661
0.785714 0.5729
0.857143 0.4257
0.928571 0.2163
1 0.0000
