# Hubbard model
# L=14, t_h=1, m_{av}=0, U=0
# Charge stiffness D_c
# n_{av} D_c

0 0.0000
0.0714286 0.1429
0.142857 0.2857
0.214286 0.4066
0.285714 0.5275
0.357143 0.6264
0.428571 0.7253
0.5 0.8022
0.571429 0.8791
0.642857 0.9341
0.714286 0.9890
0.785714 1.0220
0.857143 1.0549
0.928571 1.0659
1 1.0750
