# Interacting fermions (standard model)
# L=12, Delta=1, W=20.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
3.614570583584479913e-01 6.615593546242900212e-03
3.992182416556719904e-01 1.323118709248578134e-02
4.369794249528960450e-01 0.000000000000000000e+00
4.747406082501200997e-01 1.323118709248578134e-02
5.125017915473440988e-01 1.323118709248580042e-02
5.502629748445680979e-01 6.615593546242900212e-03
5.880241581417920971e-01 1.984678063872869977e-02
6.257853414390160962e-01 5.292474836994320170e-02
6.635465247362400953e-01 6.615593546242901080e-02
7.013077080334642055e-01 1.786210257485577879e-01
7.390688913306882046e-01 2.910861160346875920e-01
7.768300746279122038e-01 6.350969804393183926e-01
8.145912579251362029e-01 1.045263780306375123e+00
8.523524412223603131e-01 1.581126857552053178e+00
8.901136245195843122e-01 2.335304521823743595e+00
9.278748078168083113e-01 2.963785908716819240e+00
9.656359911140323105e-01 4.306751398604128589e+00
1.003397174411256199e+00 3.744425947173481539e+00
1.041158357708480420e+00 3.658423231072302606e+00
1.078919541005704419e+00 2.441154018563644446e+00
1.116680724302928418e+00 1.925137721956672543e+00
1.154441907600152417e+00 7.872556320029098220e-01
1.192203090897376416e+00 2.910861160346858711e-01
1.229964274194600415e+00 5.292474836994351395e-02
1.267725457491824415e+00 5.292474836994288945e-02
