# Interacting fermions (standard model)
# L=16, Delta=1, W=100.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
7.322823284132117250e-01 6.092494825365780964e-02
7.481103296168618577e-01 9.138742238048735977e-02
7.639383308205121015e-01 1.523123706341445241e-02
7.797663320241623452e-01 3.046247412682912339e-02
7.955943332278124780e-01 1.218498965073156193e-01
8.114223344314627218e-01 1.827748447609734428e-01
8.272503356351128545e-01 1.980060818243892795e-01
8.430783368387630983e-01 1.980060818243878917e-01
8.589063380424133420e-01 3.655496895219494391e-01
8.747343392460634748e-01 7.158681419804793222e-01
8.905623404497137185e-01 8.224868014243804648e-01
9.063903416533638513e-01 1.294655150390237486e+00
9.222183428570140951e-01 1.660204839912175379e+00
9.380463440606643388e-01 2.482691641336573163e+00
9.538743452643144716e-01 4.021046584741415408e+00
9.697023464679647153e-01 5.787870084097492374e+00
9.855303476716148481e-01 8.742730074399958085e+00
1.001358348875265092e+00 9.595679349951172554e+00
1.017186350078915336e+00 1.014400388423402610e+01
1.033014351282565357e+00 8.727498837336481685e+00
1.048842352486215823e+00 4.660758541404822708e+00
1.064670353689865845e+00 2.330379270702411354e+00
1.080498354893516089e+00 7.310993790439039852e-01
1.096326356097166332e+00 1.675436076975589939e-01
1.112154357300816354e+00 3.046247412682890482e-02
