# Interacting fermions (standard model)
# W=20.0
# Medians of eigenstate-to-eigenstate fluctuations <delta A>
# L median
1.000000000000000000e+01 5.148835855912244908e-01
1.200000000000000000e+01 4.455388081807875045e-01
1.400000000000000000e+01 3.555450505182277121e-01
1.600000000000000000e+01 2.614065688487712258e-01
