# Heisenberg model
# L=16, J=1
# Values of V in the thermodynamic limit as a function of W
# W V_inf
1.000000000000000000e+00 4.261363636363636465e-01
1.500000000000000000e+00 2.491694352159468662e-01
2.000000000000000000e+00 1.575630252100840289e-01
2.500000000000000000e+00 1.069900142653352343e-01
3.000000000000000000e+00 7.684426229508196926e-02
4.000000000000000000e+00 4.474940334128878205e-02
7.000000000000000000e+00 1.507234726688102926e-02
