# Interacting fermions (rescaled model)
# L=10, W=100.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
1.788322181956310541e-01 4.722069147945239659e-02
2.211019927689338860e-01 3.010319081815092668e-01
2.633717673422367178e-01 4.485965690547981111e-01
3.056415419155396052e-01 9.680241753287736062e-01
3.479113164888424370e-01 1.463841435863023399e+00
3.901810910621453243e-01 2.030489733616454462e+00
4.324508656354481562e-01 2.431865611191800447e+00
4.747206402087509880e-01 2.307911296058237749e+00
5.169904147820538753e-01 2.803728556592488541e+00
5.592601893553567072e-01 2.290203536753436797e+00
6.015299639286595390e-01 2.195762153794538207e+00
6.437997385019624819e-01 1.823899208393850113e+00
6.860695130752652027e-01 1.204127632726037067e+00
7.283392876485681455e-01 9.975371075034299428e-01
7.706090622218710884e-01 8.086543415856228822e-01
8.128788367951738092e-01 6.610896807123339824e-01
8.551486113684767520e-01 3.482525996609617258e-01
8.974183859417794729e-01 2.242982845273990555e-01
9.396881605150824157e-01 1.357594880034254103e-01
9.819579350883852475e-01 5.312327791438412744e-02
1.024227709661688079e+00 4.131810504452076982e-02
1.066497484234990800e+00 4.131810504452099186e-02
1.108767258808293743e+00 1.180517286986307660e-02
1.151037033381596686e+00 1.180517286986313905e-02
1.193306807954899407e+00 5.902586434931538298e-03
