# Interacting fermions (rescaled model)
# L=12, W=100.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
1.623809630166263007e-01 9.836470868089049191e-02
1.978918085108953284e-01 2.669899235624170197e-01
2.334026540051644116e-01 5.269537965047701444e-01
2.689134994994334393e-01 1.110115997970050561e+00
3.044243449937025225e-01 1.573835338894249203e+00
3.399351904879715502e-01 1.953242072377681104e+00
3.754460359822406335e-01 2.557482425703150763e+00
4.109568814765096612e-01 2.859602602365889812e+00
4.464677269707787444e-01 3.056332019727666438e+00
4.819785724650478276e-01 2.796368146785317421e+00
5.174894179593167998e-01 2.648821083763977846e+00
5.530002634535858830e-01 2.051606781058577855e+00
5.885111089478549662e-01 1.953242072377674887e+00
6.240219544421240494e-01 1.461418528973233544e+00
6.595327999363930216e-01 1.039855491769416274e+00
6.950436454306621048e-01 6.674748089060400513e-01
7.305544909249311880e-01 5.761361508452170765e-01
7.660653364192002712e-01 3.513025310031789306e-01
8.015761819134693544e-01 2.599638729423540684e-01
8.370870274077383266e-01 1.967294173617814279e-01
8.725978729020074098e-01 9.133865806082651362e-02
9.081087183962764930e-01 2.107815186019086975e-02
9.436195638905454652e-01 2.107815186019086975e-02
9.791304093848145484e-01 1.405210124012715688e-02
1.014641254879083743e+00 7.026050620063622673e-03
