# Interacting fermions (rescaled model)
# L=16, W=100.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
9.040707193543170983e-02 2.583712870509451420e-01
1.326091460923315146e-01 1.022001979890404977e+00
1.748112202492312917e-01 2.331083167615195073e+00
2.170132944061310964e-01 3.261219800998595542e+00
2.592153685630309012e-01 4.042075246308118430e+00
3.014174427199307060e-01 3.542557424676290978e+00
3.436195168768305108e-01 2.847825741717083581e+00
3.858215910337303156e-01 2.118644553817749632e+00
4.280236651906301204e-01 1.389463365918415905e+00
4.702257393475299252e-01 9.588445541668406680e-01
5.124278135044296745e-01 6.889900988025211559e-01
5.546298876613294793e-01 4.363603959082628103e-01
5.968319618182292841e-01 3.043039603044464525e-01
6.390340359751290888e-01 2.239217821108190620e-01
6.812361101320288936e-01 9.186534650700269033e-02
7.234381842889286984e-01 7.464059403693967809e-02
7.656402584458285032e-01 5.167425741018901592e-02
8.078423326027283080e-01 5.741584156687668146e-03
8.500444067596281128e-01 3.444950494012601061e-02
8.922464809165279176e-01 5.741584156687668146e-03
9.344485550734277224e-01 0.000000000000000000e+00
9.766506292303275272e-01 0.000000000000000000e+00
1.018852703387227221e+00 0.000000000000000000e+00
1.061054777544127026e+00 0.000000000000000000e+00
1.103256851701026831e+00 5.741584156687668146e-03
