# Interacting fermions with random potentials (interaction = pair hopping)
# L=12, t=1, V=1
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W <r>
1.500000000000000000e+00 5.308556501228347546e-01
1.750000000000000000e+00 5.306755759557628682e-01
2.000000000000000000e+00 5.303556351837666050e-01
2.250000000000000000e+00 5.304252288587607556e-01
2.500000000000000000e+00 5.302938560103431787e-01
2.750000000000000000e+00 5.291065174989506570e-01
3.000000000000000000e+00 5.276922059951499877e-01
3.250000000000000000e+00 5.249040414364589680e-01
3.500000000000000000e+00 5.205342038931879411e-01
3.750000000000000000e+00 5.148571510439372556e-01
4.000000000000000000e+00 5.082116920009667194e-01
4.500000000000000000e+00 4.930698427010659635e-01
5.000000000000000000e+00 4.763552969576334006e-01
5.250000000000000000e+00 4.687512284368407500e-01
5.500000000000000000e+00 4.624080783216023005e-01
5.750000000000000000e+00 4.549632854689801276e-01
6.000000000000000000e+00 4.490923527560833906e-01
6.250000000000000000e+00 4.429991311436566881e-01
6.500000000000000000e+00 4.388283894725182877e-01
6.750000000000000000e+00 4.336319613249502436e-01
7.000000000000000000e+00 4.293819620109499691e-01
7.250000000000000000e+00 4.258405038036816026e-01
7.500000000000000000e+00 4.232617927770397914e-01
8.000000000000000000e+00 4.171130274175332553e-01
1.000000000000000000e+01 4.038690052589666846e-01
