# Interacting fermions with random potentials (interaction = pair hopping)
# L=18, t=1, V=1
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W <r>
1.500000000000000000e+00 5.306398632834459228e-01
1.750000000000000000e+00 5.306253071901587681e-01
2.000000000000000000e+00 5.306135657133739247e-01
2.250000000000000000e+00 5.306360354333332641e-01
2.500000000000000000e+00 5.307472817698830614e-01
2.750000000000000000e+00 5.307523254450331462e-01
3.000000000000000000e+00 5.307462267429103875e-01
3.250000000000000000e+00 5.307360876944615669e-01
3.500000000000000000e+00 5.308526838841463036e-01
3.750000000000000000e+00 5.303791676147826539e-01
4.000000000000000000e+00 5.303111323636094943e-01
4.500000000000000000e+00 5.269721552736196246e-01
5.000000000000000000e+00 5.170052566849999698e-01
5.250000000000000000e+00 5.090390089044496413e-01
5.500000000000000000e+00 4.996697878398809189e-01
5.750000000000000000e+00 4.892924128444723353e-01
6.000000000000000000e+00 4.783957399509036201e-01
6.250000000000000000e+00 4.676523707937197405e-01
6.500000000000000000e+00 4.568672731344410876e-01
6.750000000000000000e+00 4.476766201012195578e-01
7.000000000000000000e+00 4.393422896741641104e-01
7.250000000000000000e+00 4.316244525040100477e-01
7.500000000000000000e+00 4.255140948430656822e-01
8.000000000000000000e+00 4.158233519662447031e-01
1.000000000000000000e+01 3.966038730450549554e-01
