# Interacting fermions with random potentials (interaction = pair hopping)
# L=16, t=1, V=1
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W <r>
1.500000000000000000e+00 5.305260722125857420e-01
1.750000000000000000e+00 5.306895047398625387e-01
2.000000000000000000e+00 5.308900354512250397e-01
2.250000000000000000e+00 5.307560078902893164e-01
2.500000000000000000e+00 5.307194744471910308e-01
2.750000000000000000e+00 5.308166801827468584e-01
3.000000000000000000e+00 5.308613361038250211e-01
3.250000000000000000e+00 5.303671601442053740e-01
3.500000000000000000e+00 5.303209112380019574e-01
3.750000000000000000e+00 5.292877103806515882e-01
4.000000000000000000e+00 5.272295678551499609e-01
4.500000000000000000e+00 5.183631548916991516e-01
5.000000000000000000e+00 5.022134240180249343e-01
5.250000000000000000e+00 4.920144113337810987e-01
5.500000000000000000e+00 4.827997822536537198e-01
5.750000000000000000e+00 4.717227411515423352e-01
6.000000000000000000e+00 4.623690065583250797e-01
6.250000000000000000e+00 4.532931269495522608e-01
6.500000000000000000e+00 4.455000073722549248e-01
6.750000000000000000e+00 4.376134948288059046e-01
7.000000000000000000e+00 4.312052134915750345e-01
7.250000000000000000e+00 4.255647500571642095e-01
7.500000000000000000e+00 4.205959350121890039e-01
8.000000000000000000e+00 4.125274560350999931e-01
1.000000000000000000e+01 3.966350136522249770e-01
