# XXZ spin chain 
# DTP for L=20, Delta->0.0, omega_p=0.037425
# Integrated and normalized regular part of the optical conductivity I_reg(omega/omega_p) 
# omega/omega_p I_reg(omega/omega_p))

0.294188 0.00317662
0.29499 0.00381194
0.295792 0.00381194
0.296593 0.00381194
0.297395 0.00381194
0.298196 0.00381194
0.298998 0.00381194
0.2998 0.00381194
0.300601 0.00381194
0.301403 0.00381194
0.302204 0.00381194
0.303006 0.00381194
0.303808 0.00381194
0.304609 0.00381194
0.305411 0.00381194
0.306212 0.00381194
0.307014 0.00381194
0.307816 0.00381194
0.308617 0.00381194
0.309419 0.00381194
0.31022 0.00381194
0.311022 0.00381194
0.311824 0.00381194
0.312625 0.00381194
0.313427 0.00381194
0.314228 0.00381194
0.31503 0.00381194
0.315832 0.00381194
0.316633 0.00381194
0.317435 0.00381194
0.318236 0.00381194
0.319038 0.00381194
0.31984 0.00381194
0.320641 0.00381194
0.321443 0.00381194
0.322244 0.00381194
0.323046 0.00444727
0.323848 0.00444727
0.324649 0.00444727
0.325451 0.00444727
0.326253 0.00444727
0.327054 0.00444727
0.327856 0.00444727
0.328657 0.00444727
0.329459 0.00508259
0.330261 0.00508259
0.331062 0.00571792
0.331864 0.00571792
0.332665 0.00571792
0.333467 0.00571792
0.334269 0.00571792
0.33507 0.00571792
0.335872 0.00635324
0.336673 0.00635324
0.337475 0.00635324
0.338277 0.00635324
0.339078 0.00698856
0.33988 0.00698856
0.340681 0.00698856
0.341483 0.00698856
0.342285 0.00762389
0.343086 0.00762389
0.343888 0.00762389
0.344689 0.00762389
0.345491 0.00762389
0.346293 0.00762389
0.347094 0.00762389
0.347896 0.00825921
0.348697 0.00825921
0.349499 0.00889454
0.350301 0.00889454
0.351102 0.00889454
0.351904 0.00889454
0.352705 0.00952986
0.353507 0.00952986
0.354309 0.00952986
0.35511 0.00952986
0.355912 0.00952986
0.356713 0.00952986
0.357515 0.0101652
0.358317 0.0101652
0.359118 0.0101652
0.35992 0.0108005
0.360721 0.0108005
0.361523 0.0108005
0.362325 0.0108005
0.363126 0.0108005
0.363928 0.0108005
