# Interacting fermions (standard model)
# L=16, Delta=1, W=20.0
# Probability density functions f of ||N_i^perp||
# ||N_i^perp|| f(||N_i^perp||) 
8.515091807239999477e-03 7.857934855079147241e+00
1.170008679372000135e-02 2.258315790067811690e+01
1.488508178019999975e-02 2.626782558514764432e+01
1.807007676668000162e-02 2.408929943593571821e+01
2.125507175316000003e-02 2.079909739165274374e+01
2.444006673963999843e-02 1.823507073044035920e+01
2.762506172612000377e-02 1.576069535108856812e+01
3.081005671260000217e-02 1.401249535480744512e+01
3.399505169908000057e-02 1.173087023145584240e+01
3.718004668555999898e-02 1.016197279889587790e+01
4.036504167203999738e-02 9.193738954801656149e+00
4.355003665852000272e-02 8.516871776754337375e+00
4.673503164500000112e-02 7.427608702148420505e+00
4.992002663147999952e-02 6.378688704379696262e+00
5.310502161796000486e-02 6.230764089309752229e+00
5.629001660444000327e-02 5.298390757959826836e+00
5.947501159092000167e-02 4.903925117773287212e+00
6.266000657740000701e-02 4.706692297680048931e+00
6.584500156387999847e-02 4.298778965214426151e+00
6.902999655035998994e-02 3.832592299539468783e+00
7.221499153683999528e-02 3.716045633120708125e+00
7.539998652332000062e-02 3.505365120748364038e+00
7.858498150980000596e-02 3.276754352003919735e+00
8.176997649627999742e-02 3.160207685585162185e+00
8.495497148276000277e-02 2.873323583631331779e+00
8.813996646923999423e-02 2.720916404468371574e+00
9.132496145571999957e-02 2.559544097119329731e+00
9.450995644220000491e-02 2.581956917584472766e+00
9.769495142868001025e-02 2.313003072002767002e+00
1.008799464151600017e-01 2.205421533770070663e+00
1.040649414016399932e-01 2.102322559630422028e+00
1.072499363881199985e-01 2.057496918700126631e+00
1.104349313746000039e-01 1.972328200932583320e+00
1.136199263610800092e-01 1.833368714048704939e+00
1.168049213475600007e-01 1.851298970420811374e+00
1.199899163340399921e-01 2.008188713676820836e+00
1.231749113205199975e-01 1.914054867723211872e+00
1.263599063070000028e-01 1.622688201676352859e+00
1.295449012934800082e-01 1.613723073490295423e+00
1.327298962799600135e-01 1.591310253025166377e+00
1.359148912664399911e-01 1.456833330234294621e+00
1.390998862529199964e-01 1.492693842978523255e+00
1.422848812394000018e-01 1.501658971164580469e+00
1.454698762258800071e-01 1.640618458048467065e+00
1.486548712123600124e-01 1.371664612466751310e+00
1.518398661988399900e-01 1.349251792001619821e+00
1.550248611853199954e-01 1.645101022141495895e+00
1.582098561718000007e-01 1.492693842978523255e+00
1.613948511582800061e-01 1.609240509397267038e+00
1.645798461447600114e-01 1.510624099350637684e+00
1.677648411312400167e-01 1.564414868466994513e+00
1.709498361177199943e-01 1.622688201676352859e+00
1.741348311041999997e-01 1.940950252281383070e+00
1.773198260906800050e-01 2.281625123351556539e+00
1.805048210771600103e-01 3.200550762422419648e+00
1.836898160636400157e-01 3.012283070515218153e+00
1.868748110501199933e-01 9.503035877220711303e-01
1.900598060365999986e-01 6.947974344194327578e-01
1.932448010230800040e-01 5.244599988843460237e-01
1.964297960095600093e-01 4.885994861401172229e-01
1.996147909960400146e-01 4.572215374889170847e-01
2.027997859825200200e-01 5.558379475355510468e-01
2.059847809689999976e-01 3.989482042795453043e-01
2.091697759554800029e-01 3.451574351632021309e-01
2.123547709419600082e-01 3.003317942329161161e-01
2.155397659284400136e-01 2.017153841862869279e-01
2.187247609149199912e-01 2.017153841862887043e-01
2.219097559013999965e-01 1.075815382326863745e-01
2.250947508878800019e-01 1.030989741396577675e-01
2.282797458743600072e-01 5.827333320937178041e-02
2.314647408608400125e-01 4.930820502331458716e-02
2.346497358473200179e-01 2.689538455817182608e-02
2.378347308337999955e-01 1.793025637211439344e-02
2.410197258202800008e-01 4.482564093028598359e-03
2.442047208067600061e-01 2.689538455817159363e-02
