# Interacting fermions (standard model)
# W=100.0
# Medians of eigenstate-to-eigenstate fluctuations <delta A>
# L median
1.000000000000000000e+01 5.225909903357346398e-01
1.200000000000000000e+01 4.647906704638236630e-01
1.400000000000000000e+01 3.804639582072482651e-01
1.600000000000000000e+01 2.899653656336618202e-01
