# 1D Hubbard model 
# MCLM for L=20, U/t=1.10, n=1/2(quarter filling), m=0, M_L=5*10^3 steps
# Charge conductivity sigma(omega)
# omega/J sigma_c(omega) sigma_c(omega){rescaled} 

0.0000000000000000 238.90049833374812 239.8
5.00000000000000010E-003 79.183660911121635 80.0837
1.00000000000000002E-002 1.8090207994497309 2.70902
1.49999999999999994E-002 0.28321673371978062 1.18322
2.00000000000000004E-002 0.10062358029529075 1.00062
2.50000000000000014E-002 4.10585146590465092E-002 0.941059
2.99999999999999989E-002 2.01715866937619628E-002 0.920172
3.50000000000000033E-002 1.35248736295066948E-002 0.913525
4.00000000000000008E-002 1.08975251834787946E-002 0.910898
4.49999999999999983E-002 9.57399384810572913E-003 0.909574
5.00000000000000028E-002 9.63243202099180185E-003 0.909632
5.50000000000000003E-002 1.04216813040047401E-002 0.910422
5.99999999999999978E-002 1.07676918687580111E-002 0.910768
6.50000000000000022E-002 1.15513172226723269E-002 0.911551
7.00000000000000067E-002 1.30237193671899169E-002 0.913024
7.49999999999999972E-002 1.41188870313144234E-002 0.914119
8.00000000000000017E-002 1.54833981119114582E-002 0.915483
8.50000000000000061E-002 1.70801372939360756E-002 0.91708
8.99999999999999967E-002 1.84530799509880460E-002 0.918453
9.50000000000000011E-002 2.06694014844010787E-002 0.920669
0.10000000000000001 2.29741207360446807E-002 0.922974
0.10500000000000000 2.51178621891530313E-002 0.925118
0.11000000000000000 2.80699682730088662E-002 0.92807
0.11500000000000000 2.95614901231004562E-002 0.929561
0.12000000000000000 3.15760427324105614E-002 0.931576
0.12500000000000000 3.64212280245699363E-002 0.936421
0.13000000000000000 4.23771179974118256E-002 0.942377
0.13500000000000001 4.84624402521593445E-002 0.948462
0.14000000000000001 5.36178550631452519E-002 0.953618
0.14499999999999999 5.69895073013837322E-002 0.95699
0.14999999999999999 6.03602921388696201E-002 0.96036
0.15500000000000000 6.51014708585669344E-002 0.965101
0.16000000000000000 7.23616797130179207E-002 0.972362
0.16500000000000001 7.89057185143964418E-002 0.978906
0.17000000000000001 8.06570881134856116E-002 0.980657
0.17500000000000002 8.20884393136578905E-002 0.982088
0.17999999999999999 8.69048966946311674E-002 0.986905
0.18500000000000000 8.97219845135285993E-002 0.989722
0.19000000000000000 8.75854608423379533E-002 0.987585
0.19500000000000001 8.47403417024132077E-002 0.98474
0.20000000000000001 8.44083300781034579E-002 0.984408
0.20500000000000002 8.32803689498339134E-002 0.98328
0.20999999999999999 8.44227891428897537E-002 0.984423
0.21500000000000000 9.05822898883392735E-002 0.990582
0.22000000000000000 9.21661886041650336E-002 0.992166
0.22500000000000001 8.90045628935644539E-002 0.989005
0.23000000000000001 9.11528479124644603E-002 0.991153
0.23500000000000001 9.66364577897388388E-002 0.996636
0.23999999999999999 0.10010079805415349 1.0001
0.24500000000000000 0.10138965511861099 1.00139
0.25000000000000000 0.10153298334271861 1.00153
0.25500000000000000 0.10242755354373498 1.00243
0.26000000000000001 0.10262625760761163 1.00263
0.26500000000000001 0.10262687710574739 1.00263
0.27000000000000002 0.10387993074437829 1.00388
0.27500000000000002 0.10775055777879250 1.00775
0.28000000000000003 0.11092912984081173 1.01093
0.28500000000000003 0.11304419022257990 1.01304
0.28999999999999998 0.11403231349902386 1.01403
0.29499999999999998 0.11638084494477868 1.01638
0.29999999999999999 0.12150630694462029 1.02151
0.30499999999999999 0.12336194998448534 1.02336
0.31000000000000000 0.12729779618126749 1.0273
0.31500000000000000 0.13581634512241464 1.03582
0.32000000000000001 0.13766830386014423 1.03767
0.32500000000000001 0.13763260807001140 1.03763
0.33000000000000002 0.13668429862197404 1.03668
0.33500000000000002 0.13476478440330553 1.03476
0.34000000000000002 0.14286618915350346 1.04287
0.34500000000000003 0.15174385746077274 1.05174
0.35000000000000003 0.15520799236176475 1.05521
0.35499999999999998 0.16397130414821676 1.06397
0.35999999999999999 0.16959860390668793 1.0696
0.36499999999999999 0.17409839524576537 1.0741
0.37000000000000000 0.18524497084940322 1.08524
0.37500000000000000 0.18881612576636650 1.08882
0.38000000000000000 0.19216661254155984 1.09217
0.38500000000000001 0.20428244275675611 1.10428
0.39000000000000001 0.20992101004778554 1.10992
0.39500000000000002 0.20879898545974285 1.1088
0.40000000000000002 0.21753295485792998 1.11753
0.40500000000000003 0.23503357453429743 1.13503
0.41000000000000003 0.24204774475157162 1.14205
0.41500000000000004 0.24282818847934526 1.14283
0.41999999999999998 0.25732869329737929 1.15733
0.42499999999999999 0.25101444082416918 1.15101
0.42999999999999999 0.25594112429774957 1.15594
0.43500000000000000 0.28647635829736229 1.18648
0.44000000000000000 0.28279578304569364 1.1828
0.44500000000000001 0.28336257209685745 1.18336
0.45000000000000001 0.30141049150785865 1.20141
0.45500000000000002 0.29187303287429894 1.19187
0.46000000000000002 0.30439867514399288 1.2044
0.46500000000000002 0.32074087509835258 1.22074
0.47000000000000003 0.30306662955417757 1.20307
0.47500000000000003 0.32980126450811070 1.2298
0.47999999999999998 0.36002554144319754 1.26003
0.48499999999999999 0.33319758838879371 1.2332
0.48999999999999999 0.32393050506184962 1.22393
0.49500000000000000 0.33511592298479953 1.23512
0.50000000000000000 0.33838521684916645 1.23839
0.50500000000000000 0.34581117913980319 1.24581
0.51000000000000001 0.33568503010400802 1.23569
0.51500000000000001 0.31738512699278398 1.21739
0.52000000000000002 0.30779404074216121 1.20779
0.52500000000000002 0.30843161119719231 1.20843
0.53000000000000003 0.31816346079569335 1.21816
0.53500000000000003 0.32867892501444673 1.22868
0.54000000000000004 0.34453694966089138 1.24454
0.54500000000000004 0.36872800751626539 1.26873
0.55000000000000004 0.39131978398753076 1.29132
0.55500000000000005 0.42599112348493384 1.32599
0.56000000000000005 0.48614502300859530 1.38615
0.56500000000000006 0.55104404084468550 1.45104
0.57000000000000006 0.61267776761254866 1.51268
0.57500000000000007 0.63093095138238464 1.53093
0.57999999999999996 0.66244210844264018 1.56244
0.58499999999999996 0.68746495344830860 1.58746
0.58999999999999997 0.62720444822641530 1.5272
0.59499999999999997 0.61423584152733268 1.51424
0.59999999999999998 0.64692589284725044 1.54693
0.60499999999999998 0.66417553766449233 1.56418
0.60999999999999999 0.64729118111951478 1.54729
0.61499999999999999 0.57721517520942911 1.47722
0.62000000000000000 0.50063488685547575 1.40063
0.62500000000000000 0.43825120620960956 1.33825
0.63000000000000000 0.38761250481810061 1.28761
0.63500000000000001 0.37134635174734820 1.27135
0.64000000000000001 0.36508970540737212 1.26509
0.64500000000000002 0.36101848296007105 1.26102
0.65000000000000002 0.34866131523960670 1.24866
0.65500000000000003 0.32112708416965025 1.22113
0.66000000000000003 0.32013764688106960 1.22014
0.66500000000000004 0.34015797189509006 1.24016
0.67000000000000004 0.34149571407091556 1.2415
0.67500000000000004 0.35584290734786977 1.25584
0.68000000000000005 0.38554442632487801 1.28554
0.68500000000000005 0.40862332791013056 1.30862
0.69000000000000006 0.40431399584413946 1.30431
0.69500000000000006 0.39224155962323742 1.29224
0.70000000000000007 0.38181031750488614 1.28181
0.70499999999999996 0.37293790421501921 1.27294
0.70999999999999996 0.37785744090980394 1.27786
0.71499999999999997 0.36500070999791212 1.265
0.71999999999999997 0.33849909961223712 1.2385
0.72499999999999998 0.33798752346664479 1.23799
0.72999999999999998 0.31998890282335857 1.21999
0.73499999999999999 0.29489195300251797 1.19489
0.73999999999999999 0.28884683708821901 1.18885
0.74500000000000000 0.27970634042837744 1.17971
0.75000000000000000 0.27191610378671116 1.17192
0.75500000000000000 0.26480767367465319 1.16481
0.76000000000000001 0.26245774732630789 1.16246
0.76500000000000001 0.27216291878338128 1.17216
0.77000000000000002 0.26814314886127827 1.16814
0.77500000000000002 0.26791158356787681 1.16791
0.78000000000000003 0.28494657970383935 1.18495
0.78500000000000003 0.27973459958100139 1.17973
0.79000000000000004 0.28087119169773006 1.18087
0.79500000000000004 0.29706610626756880 1.19707
0.80000000000000004 0.29427093874451854 1.19427
0.80500000000000005 0.29187553604772137 1.19188
0.81000000000000005 0.28728233020832838 1.18728
0.81500000000000006 0.27290486405855513 1.1729
0.82000000000000006 0.27528248167576475 1.17528
0.82500000000000007 0.27728542438062220 1.17729
0.83000000000000007 0.26519824140818660 1.1652
0.83499999999999996 0.25433096605066646 1.15433
0.83999999999999997 0.24830484295847183 1.1483
0.84499999999999997 0.25320343904867915 1.1532
0.84999999999999998 0.25032090715760569 1.15032
0.85499999999999998 0.24513651340836926 1.14514
0.85999999999999999 0.25040843623294368 1.15041
0.86499999999999999 0.24224340206219097 1.14224
0.87000000000000000 0.23824839536954293 1.13825
0.87500000000000000 0.24113093812220504 1.14113
0.88000000000000000 0.23075757832685059 1.13076
0.88500000000000001 0.23175290418079889 1.13175
0.89000000000000001 0.23261090129969617 1.13261
0.89500000000000002 0.21912437345976324 1.11912
0.90000000000000002 0.22148089581498256 1.12148
0.90500000000000003 0.22055673377381885 1.12056
0.91000000000000003 0.21780558819064810 1.11781
0.91500000000000004 0.21990581834610945 1.11991
0.92000000000000004 0.20781175936649060 1.10781
0.92500000000000004 0.20761767175635171 1.10762
0.93000000000000005 0.20854736217542186 1.10855
0.93500000000000005 0.19854943560081287 1.09855
0.94000000000000006 0.20036618075039786 1.10037
0.94500000000000006 0.19694835858633122 1.09695
0.95000000000000007 0.19142913317635557 1.09143
0.95500000000000007 0.19912626798114838 1.09913
0.95999999999999996 0.19651260783181707 1.09651
0.96499999999999997 0.19416151705090196 1.09416
0.96999999999999997 0.19012111471677803 1.09012
0.97499999999999998 0.18131690948953022 1.08132
0.97999999999999998 0.18710701583069486 1.08711
0.98499999999999999 0.18248331471352675 1.08248
0.98999999999999999 0.17515599630829765 1.07516
0.99500000000000000 0.18029425967465784 1.08029
1.0000000000000000 0.17617947240501555 1.07618
1.0050000000000001 0.17679507503033784 1.0768
1.0100000000000000 0.17631916643696130 1.07632
1.0150000000000001 0.16762083549119577 1.06762
1.0200000000000000 0.17344363637147522 1.07344
1.0249999999999999 0.17000646984921139 1.07001
1.0300000000000000 0.16318055371851317 1.06318
1.0349999999999999 0.16984044610400392 1.06984
1.0400000000000000 0.16664985508600244 1.06665
1.0449999999999999 0.16577496902315172 1.06577
1.0500000000000000 0.16478338798861716 1.06478
1.0549999999999999 0.15856340130211818 1.05856
1.0600000000000001 0.16416805366161022 1.06417
1.0649999999999999 0.16298884425148880 1.06299
1.0700000000000001 0.15861856654521134 1.05862
1.0750000000000000 0.15982299271852274 1.05982
1.0800000000000001 0.15681878396724372 1.05682
1.0850000000000000 0.16130787422634443 1.06131
1.0900000000000001 0.16055753118541935 1.06056
1.0950000000000000 0.15433611946265063 1.05434
1.1000000000000001 0.15828792738225031 1.05829
1.1050000000000000 0.15490182091733889 1.0549
1.1100000000000001 0.15475581127846702 1.05476
1.1150000000000000 0.15678338085827012 1.05678
1.1200000000000001 0.14911167706457826 1.04911
1.1250000000000000 0.14634395655295623 1.04634
1.1300000000000001 0.14378736316396110 1.04379
1.1350000000000000 0.14251898585504408 1.04252
1.1400000000000001 0.14683283733154884 1.04683
1.1450000000000000 0.14272817396093285 1.04273
1.1500000000000001 0.14029257498465331 1.04029
1.1550000000000000 0.14083773025826485 1.04084
1.1599999999999999 0.13841683069226515 1.03842
1.1650000000000000 0.14219486272049900 1.04219
1.1699999999999999 0.14069976033969198 1.0407
1.1750000000000000 0.13546508570653415 1.03547
1.1799999999999999 0.13594988292238089 1.03595
1.1850000000000001 0.13275640980368308 1.03276
1.1899999999999999 0.13590626300975608 1.03591
1.1950000000000001 0.13741289665519929 1.03741
1.2000000000000000 0.13065801249476311 1.03066
1.2050000000000001 0.13263755002934441 1.03264
1.2100000000000000 0.13356566478328302 1.03357
1.2150000000000001 0.12670757967592972 1.02671
1.2200000000000000 0.12603121598932976 1.02603
1.2250000000000001 0.12421708780427025 1.02422
1.2300000000000000 0.12522057590514438 1.02522
1.2350000000000001 0.12735745133909565 1.02736
1.2400000000000000 0.12174122176966727 1.02174
1.2450000000000001 0.12210741104653038 1.02211
1.2500000000000000 0.12123867655723308 1.02124
1.2550000000000001 0.11583135362535024 1.01583
1.2600000000000000 0.11955309880174911 1.01955
1.2650000000000001 0.11961368055823993 1.01961
