# XXZ spin chain 
# ED for L=20, Delta=0.925
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 174.75250689975252 174.903
5.0000000000000001E-004 8.4824557398508875E-007 0.150001
1.0000000000000000E-003 1.9990887377419553E-006 0.150002
1.5000000000000000E-003 4.5156285693313400E-006 0.150005
2.0000000000000000E-003 7.7460190458214284E-006 0.150008
2.5000000000000001E-003 1.0661765720763182E-005 0.150011
3.0000000000000001E-003 1.5127933904555692E-005 0.150015
3.5000000000000001E-003 2.1435361586069487E-005 0.150021
4.0000000000000001E-003 2.6610315730774043E-005 0.150027
4.5000000000000005E-003 3.2726713996997029E-005 0.150033
5.0000000000000001E-003 4.0152775681883164E-005 0.15004
5.4999999999999997E-003 5.0900028875321090E-005 0.150051
6.0000000000000001E-003 5.3256628741038881E-005 0.150053
6.5000000000000006E-003 6.2761347374838060E-005 0.150063
7.0000000000000001E-003 7.6903111695168365E-005 0.150077
7.4999999999999997E-003 8.7520729171872760E-005 0.150088
8.0000000000000002E-003 9.3678128402140855E-005 0.150094
8.5000000000000006E-003 1.0716416663709114E-004 0.150107
9.0000000000000011E-003 1.2041231209683145E-004 0.15012
9.4999999999999998E-003 1.3708700740307477E-004 0.150137
1.0000000000000000E-002 1.4937011576232373E-004 0.150149
1.0500000000000001E-002 1.5895739236629813E-004 0.150159
1.0999999999999999E-002 1.6745699304800043E-004 0.150167
1.1500000000000000E-002 2.0689175429966546E-004 0.150207
1.2000000000000000E-002 2.2317255525215100E-004 0.150223
1.2500000000000001E-002 2.4387314034430988E-004 0.150244
1.3000000000000001E-002 2.4206818333875942E-004 0.150242
1.3500000000000000E-002 2.6886182936667079E-004 0.150269
1.4000000000000000E-002 3.1869325736038278E-004 0.150319
1.4500000000000001E-002 3.2133595165556778E-004 0.150321
1.4999999999999999E-002 3.3132075682756006E-004 0.150331
1.5500000000000000E-002 4.3305358653932636E-004 0.150433
1.6000000000000000E-002 3.9890668081072277E-004 0.150399
1.6500000000000001E-002 4.1377784997085042E-004 0.150414
1.7000000000000001E-002 4.4758128305153345E-004 0.150448
1.7500000000000002E-002 4.5366364158578893E-004 0.150454
1.8000000000000002E-002 4.6209035356915216E-004 0.150462
1.8499999999999999E-002 5.3532166603250417E-004 0.150535
1.9000000000000000E-002 2.2310855460639374E-003 0.152231
1.9500000000000000E-002 5.2006196316481314E-004 0.15052
2.0000000000000000E-002 5.8445178284343541E-004 0.150584
2.0500000000000001E-002 5.9304278174097784E-004 0.150593
2.1000000000000001E-002 6.5901949756805170E-004 0.150659
2.1500000000000002E-002 6.0275876395696106E-004 0.150603
2.1999999999999999E-002 6.9482189983444175E-004 0.150695
2.2499999999999999E-002 6.6899660607983242E-004 0.150669
2.3000000000000000E-002 7.8074249772056069E-004 0.150781
2.3500000000000000E-002 7.9323724230554100E-004 0.150793
2.4000000000000000E-002 8.4014477314313103E-004 0.15084
2.4500000000000001E-002 1.0013083216159318E-003 0.151001
2.5000000000000001E-002 8.8811939715675121E-004 0.150888
2.5500000000000002E-002 9.4341552366639472E-004 0.150943
2.6000000000000002E-002 9.3913490308633607E-004 0.150939
2.6499999999999999E-002 1.0450186641730672E-003 0.151045
2.7000000000000000E-002 8.7146661814486049E-004 0.150871
2.7500000000000000E-002 1.0455480248695937E-003 0.151046
2.8000000000000001E-002 1.1109341382584529E-003 0.151111
2.8500000000000001E-002 1.1684699687016173E-003 0.151168
2.9000000000000001E-002 1.2466627915352117E-003 0.151247
2.9500000000000002E-002 1.1970963257271481E-003 0.151197
2.9999999999999999E-002 1.2643151628990434E-003 0.151264
3.0499999999999999E-002 1.5228283043191861E-003 0.151523
3.1000000000000000E-002 1.3016262878294911E-003 0.151302
3.1500000000000000E-002 1.5002114047111689E-003 0.1515
3.2000000000000001E-002 1.6181319034381807E-003 0.151618
3.2500000000000001E-002 1.5391315989005271E-003 0.151539
3.3000000000000002E-002 1.6005364109231855E-003 0.151601
3.3500000000000002E-002 1.5786667877205390E-003 0.151579
3.4000000000000002E-002 1.6523142238127346E-003 0.151652
3.4500000000000003E-002 1.9351162306877412E-003 0.151935
3.5000000000000003E-002 1.7325511754701665E-003 0.151733
3.5500000000000004E-002 1.9447235466323691E-003 0.151945
3.6000000000000004E-002 1.7215396551806489E-003 0.151722
3.6499999999999998E-002 1.7239900675757710E-003 0.151724
3.6999999999999998E-002 2.1169173446188958E-003 0.152117
3.7499999999999999E-002 1.8438688860536070E-003 0.151844
3.7999999999999999E-002 1.9355760635197143E-003 0.151936
3.8500000000000000E-002 2.1968902525889649E-003 0.152197
3.9000000000000000E-002 2.0797290829552219E-003 0.15208
3.9500000000000000E-002 2.1847039017329583E-003 0.152185
4.0000000000000001E-002 2.4188026098268265E-003 0.152419
4.0500000000000001E-002 2.2920564484634437E-003 0.152292
4.1000000000000002E-002 2.2557108181447999E-003 0.152256
4.1500000000000002E-002 4.6295240609415646E-003 0.15463
4.2000000000000003E-002 4.7525644780384430E-003 0.154753
4.2500000000000003E-002 5.3999979808349004E-003 0.1554
4.3000000000000003E-002 2.4551059643519186E-003 0.152455
4.3500000000000004E-002 2.5593395729735513E-003 0.152559
4.3999999999999997E-002 2.7539295975415449E-003 0.152754
4.4499999999999998E-002 5.8496227937022069E-003 0.15585
4.4999999999999998E-002 2.9188383889897319E-003 0.152919
4.5499999999999999E-002 4.1238545724187137E-003 0.154124
4.5999999999999999E-002 5.4777124253524382E-003 0.155478
4.6500000000000000E-002 6.4996484388924573E-003 0.1565
4.7000000000000000E-002 3.9473021987601982E-003 0.153947
4.7500000000000001E-002 3.3974557766510115E-003 0.153397
4.8000000000000001E-002 9.5783287969392634E-003 0.159578
4.8500000000000001E-002 6.2899195451261349E-003 0.15629
4.9000000000000002E-002 6.5170898639243654E-003 0.156517
4.9500000000000002E-002 1.2623873791817146E-002 0.162624
5.0000000000000003E-002 5.0623732661137120E-003 0.155062
5.0500000000000003E-002 4.5675127031969019E-003 0.154568
5.1000000000000004E-002 5.2704859359442675E-003 0.15527
5.1500000000000004E-002 7.2980275749669962E-003 0.157298
5.2000000000000005E-002 7.4776283227098259E-003 0.157478
5.2499999999999998E-002 7.0082164133799026E-003 0.157008
5.2999999999999999E-002 5.3448107699385679E-003 0.155345
5.3499999999999999E-002 3.3244404220478564E-003 0.153324
5.3999999999999999E-002 6.3030180492614574E-003 0.156303
5.4500000000000000E-002 1.1110980336516406E-002 0.161111
5.5000000000000000E-002 8.5263349507148055E-003 0.158526
5.5500000000000001E-002 9.5077280269307441E-003 0.159508
5.6000000000000001E-002 9.2015511761966949E-003 0.159202
5.6500000000000002E-002 1.4606748485924465E-002 0.164607
5.7000000000000002E-002 1.0956017611688443E-002 0.160956
5.7500000000000002E-002 6.6218449646568934E-003 0.156622
5.8000000000000003E-002 4.3771605356082788E-003 0.154377
5.8500000000000003E-002 1.3741202609030051E-002 0.163741
5.9000000000000004E-002 1.7914880285868157E-002 0.167915
5.9500000000000004E-002 1.5246890925886700E-002 0.165247
5.9999999999999998E-002 1.6115932479170453E-002 0.166116
6.0499999999999998E-002 1.5642653909699957E-002 0.165643
6.0999999999999999E-002 1.4063561646448676E-002 0.164064
6.1499999999999999E-002 1.3004517327224409E-002 0.163005
6.2000000000000000E-002 1.3342553205300428E-002 0.163343
6.2500000000000000E-002 1.1580848276108899E-002 0.161581
6.3000000000000000E-002 7.6026382009747274E-003 0.157603
6.3500000000000001E-002 1.4542934207559267E-002 0.164543
6.4000000000000001E-002 1.5533598250509378E-002 0.165534
6.4500000000000002E-002 1.8727325409617909E-002 0.168727
6.5000000000000002E-002 1.5753271742313453E-002 0.165753
6.5500000000000003E-002 2.4445516432598888E-002 0.174446
6.6000000000000003E-002 2.1699843328635081E-002 0.1717
6.6500000000000004E-002 2.7686359735293143E-002 0.177686
6.7000000000000004E-002 1.7542375880470439E-002 0.167542
6.7500000000000004E-002 1.1842429785802289E-002 0.161842
6.8000000000000005E-002 1.6789658936036345E-002 0.16679
6.8500000000000005E-002 1.6594658087473724E-002 0.166595
6.9000000000000006E-002 2.1742832229596179E-002 0.171743
6.9500000000000006E-002 2.6697594430496536E-002 0.176698
7.0000000000000007E-002 1.7393987016695631E-002 0.167394
7.0500000000000007E-002 2.7299641829020473E-002 0.1773
7.1000000000000008E-002 3.6741838083913840E-002 0.186742
7.1500000000000008E-002 2.2353444793156860E-002 0.172353
7.2000000000000008E-002 1.9893961701262296E-002 0.169894
7.2499999999999995E-002 2.6117129427948166E-002 0.176117
7.2999999999999995E-002 3.2279658235514722E-002 0.18228
7.3499999999999996E-002 2.2539237488763388E-002 0.172539
7.3999999999999996E-002 3.4878761835575631E-002 0.184879
7.4499999999999997E-002 4.7425896601998654E-002 0.197426
7.4999999999999997E-002 3.7011975934284541E-002 0.187012
7.5499999999999998E-002 4.0029275358507137E-002 0.190029
7.5999999999999998E-002 4.1129566156514717E-002 0.19113
7.6499999999999999E-002 2.3407578275807805E-002 0.173408
