# XXZ spin chain 
# ED for L=20, Delta=0.550
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 455.39930614547598 456.299
5.0000000000000001E-004 5.9199967277906764E-007 0.900001
1.0000000000000000E-003 1.5185700424755102E-006 0.900002
1.5000000000000000E-003 3.3752764270732754E-006 0.900003
2.0000000000000000E-003 4.5632229060462434E-006 0.900005
2.5000000000000001E-003 7.1092898661677000E-006 0.900007
3.0000000000000001E-003 1.0570384880229223E-005 0.900011
3.5000000000000001E-003 1.3133753512999049E-005 0.900013
4.0000000000000001E-003 1.7456347969182348E-005 0.900017
4.5000000000000005E-003 2.0381689694192359E-005 0.90002
5.0000000000000001E-003 3.1342952290773858E-005 0.900031
5.4999999999999997E-003 2.8935280085421683E-005 0.900029
6.0000000000000001E-003 3.9807465729073437E-005 0.90004
6.5000000000000006E-003 4.4602521705384857E-005 0.900045
7.0000000000000001E-003 5.1326848732959228E-005 0.900051
7.4999999999999997E-003 5.7979139286550747E-005 0.900058
8.0000000000000002E-003 7.0351258288043302E-005 0.90007
8.5000000000000006E-003 7.7128228366339454E-005 0.900077
9.0000000000000011E-003 8.2639196702333586E-005 0.900083
9.4999999999999998E-003 9.2172264171881172E-005 0.900092
1.0000000000000000E-002 1.1075231833226640E-004 0.900111
1.0500000000000001E-002 1.1643993163177456E-004 0.900116
1.0999999999999999E-002 1.3348060137542288E-004 0.900133
1.1500000000000000E-002 1.3734584588565236E-004 0.900137
1.2000000000000000E-002 1.5303361717990257E-004 0.900153
1.2500000000000001E-002 1.8405579384202082E-004 0.900184
1.3000000000000001E-002 1.6821726592791233E-004 0.900168
1.3500000000000000E-002 1.8152713982060842E-004 0.900182
1.4000000000000000E-002 1.9702995642636054E-004 0.900197
1.4500000000000001E-002 2.2434362720902436E-004 0.900224
1.4999999999999999E-002 2.1245913228908089E-004 0.900212
1.5500000000000000E-002 2.4353759175804802E-004 0.900244
1.6000000000000000E-002 2.3000679371514010E-004 0.90023
1.6500000000000001E-002 2.7064187360221245E-004 0.900271
1.7000000000000001E-002 2.9325434424308159E-004 0.900293
1.7500000000000002E-002 3.3217754410020165E-004 0.900332
1.8000000000000002E-002 3.3133137859273033E-004 0.900331
1.8499999999999999E-002 3.2265481696039312E-004 0.900323
1.9000000000000000E-002 3.8541425845078914E-004 0.900385
1.9500000000000000E-002 3.7217453066882580E-004 0.900372
2.0000000000000000E-002 4.2913330308566025E-004 0.900429
2.0500000000000001E-002 4.4691249710316125E-004 0.900447
2.1000000000000001E-002 4.4069889151270670E-004 0.900441
2.1500000000000002E-002 4.9612252063570967E-004 0.900496
2.1999999999999999E-002 5.2701787675340844E-004 0.900527
2.2499999999999999E-002 5.1809466575171556E-004 0.900518
2.3000000000000000E-002 5.8220198113484250E-004 0.900582
2.3500000000000000E-002 5.4876736601006495E-004 0.900549
2.4000000000000000E-002 7.7168274356115675E-004 0.900772
2.4500000000000001E-002 7.0594129664644718E-004 0.900706
2.5000000000000001E-002 1.5892200354688522E-003 0.901589
2.5500000000000002E-002 1.5626773487564286E-003 0.901563
2.6000000000000002E-002 3.1947589656848665E-003 0.903195
2.6499999999999999E-002 4.4127612684225093E-003 0.904413
2.7000000000000000E-002 3.8657389363811849E-003 0.903866
2.7500000000000000E-002 5.5303190802508569E-003 0.90553
2.8000000000000001E-002 4.8077165048898626E-003 0.904808
2.8500000000000001E-002 1.1572028501729587E-002 0.911572
2.9000000000000001E-002 6.9338517931558478E-003 0.906934
2.9500000000000002E-002 7.9386675707171419E-003 0.907939
2.9999999999999999E-002 6.3497779026088627E-003 0.90635
3.0499999999999999E-002 6.7458031061589270E-003 0.906746
3.1000000000000000E-002 9.6883052793053058E-003 0.909688
3.1500000000000000E-002 7.2754421621828913E-003 0.907275
3.2000000000000001E-002 9.6646417845387723E-003 0.909665
3.2500000000000001E-002 1.1425620639186731E-002 0.911426
3.3000000000000002E-002 1.1445488030766615E-002 0.911445
3.3500000000000002E-002 1.3926425706280126E-002 0.913926
3.4000000000000002E-002 1.0955973177967711E-002 0.910956
3.4500000000000003E-002 1.5030466787766060E-002 0.91503
3.5000000000000003E-002 2.0582896458147381E-002 0.920583
3.5500000000000004E-002 1.9118491455924997E-002 0.919118
3.6000000000000004E-002 2.1188541078586611E-002 0.921189
3.6499999999999998E-002 2.1057981306786565E-002 0.921058
3.6999999999999998E-002 2.4296835287616121E-002 0.924297
3.7499999999999999E-002 2.2482878843157264E-002 0.922483
3.7999999999999999E-002 2.5322457840691211E-002 0.925322
3.8500000000000000E-002 2.4294634940480928E-002 0.924295
3.9000000000000000E-002 2.8154885377421158E-002 0.928155
3.9500000000000000E-002 2.6887494730080452E-002 0.926887
4.0000000000000001E-002 2.4474271040108780E-002 0.924474
4.0500000000000001E-002 2.3375794758013435E-002 0.923376
4.1000000000000002E-002 2.6725749507717951E-002 0.926726
4.1500000000000002E-002 2.4847712983244175E-002 0.924848
4.2000000000000003E-002 2.4186282856867383E-002 0.924186
4.2500000000000003E-002 2.4841934333330463E-002 0.924842
4.3000000000000003E-002 2.3587873315481008E-002 0.923588
4.3500000000000004E-002 2.6392443317664438E-002 0.926392
4.3999999999999997E-002 2.2125560275489842E-002 0.922126
4.4499999999999998E-002 2.7627098458607408E-002 0.927627
4.4999999999999998E-002 2.5158911218019490E-002 0.925159
4.5499999999999999E-002 3.5661017733246481E-002 0.935661
4.5999999999999999E-002 3.0213893502842475E-002 0.930214
4.6500000000000000E-002 3.2563390733307343E-002 0.932563
4.7000000000000000E-002 2.7111253878135202E-002 0.927111
4.7500000000000001E-002 3.6133830996082139E-002 0.936134
4.8000000000000001E-002 3.4424863902538183E-002 0.934425
4.8500000000000001E-002 3.4612621408113969E-002 0.934613
4.9000000000000002E-002 3.5597706339905520E-002 0.935598
4.9500000000000002E-002 3.8439336824414062E-002 0.938439
5.0000000000000003E-002 3.7471830692312767E-002 0.937472
5.0500000000000003E-002 3.5044741795004136E-002 0.935045
5.1000000000000004E-002 3.1196573291915761E-002 0.931197
5.1500000000000004E-002 3.4962462350555147E-002 0.934962
5.2000000000000005E-002 3.2612906921693031E-002 0.932613
5.2499999999999998E-002 3.2391942768660691E-002 0.932392
5.2999999999999999E-002 3.4021940115436203E-002 0.934022
5.3499999999999999E-002 2.9031202060488606E-002 0.929031
5.3999999999999999E-002 2.7898280888726149E-002 0.927898
5.4500000000000000E-002 2.9945043446311572E-002 0.929945
5.5000000000000000E-002 2.5517071576299281E-002 0.925517
5.5500000000000001E-002 2.6756015401474695E-002 0.926756
5.6000000000000001E-002 2.6815327215896488E-002 0.926815
5.6500000000000002E-002 2.7304280271418697E-002 0.927304
5.7000000000000002E-002 2.6752462741104825E-002 0.926752
5.7500000000000002E-002 3.2462224971856864E-002 0.932462
5.8000000000000003E-002 2.8637855017841829E-002 0.928638
5.8500000000000003E-002 2.9726373600663693E-002 0.929726
5.9000000000000004E-002 2.7480348505858329E-002 0.92748
5.9500000000000004E-002 3.1592464282309357E-002 0.931592
5.9999999999999998E-002 2.7763020398343836E-002 0.927763
6.0499999999999998E-002 3.0473252244557925E-002 0.930473
6.0999999999999999E-002 2.9607719141549936E-002 0.929608
6.1499999999999999E-002 3.4060959127791515E-002 0.934061
6.2000000000000000E-002 3.4071758988202361E-002 0.934072
6.2500000000000000E-002 3.2358312084663755E-002 0.932358
6.3000000000000000E-002 3.0583472552578775E-002 0.930583
6.3500000000000001E-002 3.4466511682100853E-002 0.934467
6.4000000000000001E-002 3.3393161176432956E-002 0.933393
6.4500000000000002E-002 3.3019001614807961E-002 0.933019
6.5000000000000002E-002 3.3400022623642937E-002 0.9334
6.5500000000000003E-002 3.3369809359128699E-002 0.93337
6.6000000000000003E-002 3.0100276689942168E-002 0.9301
6.6500000000000004E-002 3.5289579836566234E-002 0.93529
6.7000000000000004E-002 3.0764377026201044E-002 0.930764
6.7500000000000004E-002 3.0722762891536876E-002 0.930723
6.8000000000000005E-002 3.1010516846345034E-002 0.931011
6.8500000000000005E-002 2.9859657127018460E-002 0.92986
6.9000000000000006E-002 3.0292857666721591E-002 0.930293
6.9500000000000006E-002 3.0414619978808108E-002 0.930415
7.0000000000000007E-002 2.7313442462589790E-002 0.927313
7.0500000000000007E-002 3.1040257976255783E-002 0.93104
7.1000000000000008E-002 2.9363084041201682E-002 0.929363
7.1500000000000008E-002 3.2755389969879901E-002 0.932755
7.2000000000000008E-002 2.8065047079964014E-002 0.928065
7.2499999999999995E-002 2.8295037919340023E-002 0.928295
7.2999999999999995E-002 3.2701629202326672E-002 0.932702
7.3499999999999996E-002 3.2693265342144714E-002 0.932693
7.3999999999999996E-002 3.6039626007124313E-002 0.93604
7.4499999999999997E-002 2.9714100857912824E-002 0.929714
7.4999999999999997E-002 3.0149993854881183E-002 0.93015
7.5499999999999998E-002 3.3271815637037239E-002 0.933272
7.5999999999999998E-002 3.7026757914636985E-002 0.937027
7.6499999999999999E-002 3.3953646402572299E-002 0.933954
7.6999999999999999E-002 2.9003648863521574E-002 0.929004
7.7499999999999999E-002 3.3818996871556817E-002 0.933819
7.8000000000000000E-002 3.3733377717940410E-002 0.933733
7.8500000000000000E-002 3.9893837106955793E-002 0.939894
7.9000000000000001E-002 3.5031758129393444E-002 0.935032
7.9500000000000001E-002 3.7611691174317771E-002 0.937612
8.0000000000000002E-002 3.5721202466325819E-002 0.935721
8.0500000000000002E-002 3.5571465837861409E-002 0.935571
8.1000000000000003E-002 3.5011100039506214E-002 0.935011
8.1500000000000003E-002 3.6836151624065540E-002 0.936836
8.2000000000000003E-002 4.0614116298770188E-002 0.940614
8.2500000000000004E-002 3.7759629441695572E-002 0.93776
8.3000000000000004E-002 3.7933458437022546E-002 0.937933
8.3500000000000005E-002 3.8174662166490889E-002 0.938175
8.4000000000000005E-002 4.4319125918117611E-002 0.944319
8.4500000000000006E-002 4.1082100626967433E-002 0.941082
8.5000000000000006E-002 4.2948624885182161E-002 0.942949
8.5500000000000007E-002 4.1733248769615879E-002 0.941733
8.6000000000000007E-002 4.8821780861728850E-002 0.948822
8.6500000000000007E-002 3.9883710575188289E-002 0.939884
8.7000000000000008E-002 4.0211221026409082E-002 0.940211
8.7500000000000008E-002 4.4486061526178698E-002 0.944486
8.7999999999999995E-002 4.8040231506075677E-002 0.94804
