# XXZ spin chain 
# ED for L=20, Delta=0.000
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 826.73490883935779 828.735
5.0000000000000001E-004 3.1866717206224980E-018 2
1.0000000000000000E-003 0.0000000000000000 2
1.5000000000000000E-003 4.3829688306601179E-020 2
2.0000000000000000E-003 7.7365911874567472E-019 2
2.5000000000000001E-003 0.0000000000000000 2
3.0000000000000001E-003 2.3943775340772757E-018 2
3.5000000000000001E-003 0.0000000000000000 2
4.0000000000000001E-003 6.6320753987868908E-020 2
4.5000000000000005E-003 0.0000000000000000 2
5.0000000000000001E-003 4.5425179842669850E-018 2
5.4999999999999997E-003 0.0000000000000000 2
6.0000000000000001E-003 6.0798506318177856E-019 2
6.5000000000000006E-003 2.6845788739287787E-022 2
7.0000000000000001E-003 0.0000000000000000 2
7.4999999999999997E-003 0.0000000000000000 2
8.0000000000000002E-003 0.0000000000000000 2
8.5000000000000006E-003 5.5811596727351383E-019 2
9.0000000000000011E-003 0.0000000000000000 2
9.4999999999999998E-003 9.5809904506000698E-020 2
1.0000000000000000E-002 3.8796363140773592E-019 2
1.0500000000000001E-002 1.7611282955712594E-020 2
1.0999999999999999E-002 0.0000000000000000 2
1.1500000000000000E-002 1.0668929827415424E-019 2
1.2000000000000000E-002 0.0000000000000000 2
1.2500000000000001E-002 0.0000000000000000 2
1.3000000000000001E-002 1.3448059286153329E-020 2
1.3500000000000000E-002 5.2198639897293523E-020 2
1.4000000000000000E-002 0.0000000000000000 2
1.4500000000000001E-002 2.7656549061533264E-020 2
1.4999999999999999E-002 2.7677184327532155E-019 2
1.5500000000000000E-002 0.0000000000000000 2
1.6000000000000000E-002 1.0618472823232127E-020 2
1.6500000000000001E-002 0.0000000000000000 2
1.7000000000000001E-002 1.1451767833860664E-021 2
1.7500000000000002E-002 7.8583574986762617E-027 2
1.8000000000000002E-002 7.2742427331071231E-021 2
1.8499999999999999E-002 1.2369933194860518E-019 2
1.9000000000000000E-002 0.0000000000000000 2
1.9500000000000000E-002 2.1519247009415000E-021 2
2.0000000000000000E-002 1.1939678612985701E-020 2
2.0500000000000001E-002 9.3946673598772801E-021 2
2.1000000000000001E-002 0.0000000000000000 2
2.1500000000000002E-002 2.5859272175109025E-020 2
2.1999999999999999E-002 0.0000000000000000 2
2.2499999999999999E-002 0.0000000000000000 2
2.3000000000000000E-002 0.0000000000000000 2
2.3500000000000000E-002 0.0000000000000000 2
2.4000000000000000E-002 2.2987309394139932E-019 2
2.4500000000000001E-002 7.4286144424842291E-020 2
2.5000000000000001E-002 0.0000000000000000 2
2.5500000000000002E-002 0.0000000000000000 2
2.6000000000000002E-002 1.7423910883380611E-023 2
2.6499999999999999E-002 9.9193262926273200E-022 2
2.7000000000000000E-002 1.6049119503712492E-020 2
2.7500000000000000E-002 0.0000000000000000 2
2.8000000000000001E-002 1.8642431306508620E-020 2
2.8500000000000001E-002 7.6005266094777399E-027 2
2.9000000000000001E-002 1.7761677217003048E-020 2
2.9500000000000002E-002 0.0000000000000000 2
2.9999999999999999E-002 2.1417649006513549E-019 2
3.0499999999999999E-002 6.2398339111589101E-023 2
3.1000000000000000E-002 0.0000000000000000 2
3.1500000000000000E-002 3.1562946084077590E-027 2
3.2000000000000001E-002 0.0000000000000000 2
3.2500000000000001E-002 1.6299410201257254E-021 2
3.3000000000000002E-002 0.0000000000000000 2
3.3500000000000002E-002 9.1149410862922878E-020 2
3.4000000000000002E-002 0.0000000000000000 2
3.4500000000000003E-002 0.0000000000000000 2
3.5000000000000003E-002 0.0000000000000000 2
3.5500000000000004E-002 5.3614238367553742E-020 2
3.6000000000000004E-002 0.0000000000000000 2
3.6499999999999998E-002 0.0000000000000000 2
3.6999999999999998E-002 9.2855657435197466E-022 2
3.7499999999999999E-002 0.0000000000000000 2
3.7999999999999999E-002 0.0000000000000000 2
3.8500000000000000E-002 3.9198815471598396E-020 2
3.9000000000000000E-002 4.3636900998533268E-021 2
3.9500000000000000E-002 4.2047468567949685E-022 2
4.0000000000000001E-002 7.9777780109221695E-021 2
4.0500000000000001E-002 3.9857525568424975E-022 2
4.1000000000000002E-002 1.3466111542729061E-023 2
4.1500000000000002E-002 7.1216500105766285E-023 2
4.2000000000000003E-002 2.6512819365220225E-021 2
4.2500000000000003E-002 0.0000000000000000 2
4.3000000000000003E-002 0.0000000000000000 2
4.3500000000000004E-002 7.9099725934889544E-021 2
4.3999999999999997E-002 3.6406734243830929E-021 2
4.4499999999999998E-002 3.9060520189255792E-023 2
4.4999999999999998E-002 0.0000000000000000 2
4.5499999999999999E-002 2.1755686378130711E-020 2
4.5999999999999999E-002 0.0000000000000000 2
4.6500000000000000E-002 2.0017339263853148E-023 2
4.7000000000000000E-002 1.7417171294115703E-021 2
4.7500000000000001E-002 0.0000000000000000 2
4.8000000000000001E-002 2.5708163318999827E-022 2
4.8500000000000001E-002 3.4072145479266768E-020 2
4.9000000000000002E-002 0.0000000000000000 2
4.9500000000000002E-002 3.7026961389367640E-022 2
5.0000000000000003E-002 0.0000000000000000 2
5.0500000000000003E-002 8.9595671619205541E-022 2
5.1000000000000004E-002 8.6663057733163654E-023 2
5.1500000000000004E-002 6.4765898597260020E-023 2
5.2000000000000005E-002 6.4965294711635666E-021 2
5.2499999999999998E-002 0.0000000000000000 2
5.2999999999999999E-002 4.6312792478728697E-024 2
5.3499999999999999E-002 0.0000000000000000 2
5.3999999999999999E-002 3.5532943987424307E-020 2
5.4500000000000000E-002 0.0000000000000000 2
5.5000000000000000E-002 6.1287932387528243E-022 2
5.5500000000000001E-002 0.0000000000000000 2
5.6000000000000001E-002 0.0000000000000000 2
5.6500000000000002E-002 0.0000000000000000 2
5.7000000000000002E-002 0.0000000000000000 2
5.7500000000000002E-002 3.7936716300790043E-020 2
5.8000000000000003E-002 7.8641594320725017E-022 2
5.8500000000000003E-002 0.0000000000000000 2
5.9000000000000004E-002 8.1093513019769672E-023 2
5.9500000000000004E-002 6.2861439392286948E-021 2
5.9999999999999998E-002 2.6228669373616176E-021 2
6.0499999999999998E-002 0.0000000000000000 2
6.0999999999999999E-002 0.0000000000000000 2
6.1499999999999999E-002 0.0000000000000000 2
6.2000000000000000E-002 0.0000000000000000 2
6.2500000000000000E-002 1.2820068320387506E-020 2
6.3000000000000000E-002 0.0000000000000000 2
6.3500000000000001E-002 1.7485450862001392E-020 2
6.4000000000000001E-002 8.5838428265527793E-023 2
6.4500000000000002E-002 0.0000000000000000 2
6.5000000000000002E-002 0.0000000000000000 2
6.5500000000000003E-002 6.1642255252916696E-022 2
6.6000000000000003E-002 1.6441706280016988E-023 2
6.6500000000000004E-002 0.0000000000000000 2
6.7000000000000004E-002 1.6543338065906906E-022 2
6.7500000000000004E-002 3.5493116060511064E-021 2
6.8000000000000005E-002 1.0057009971351762E-022 2
6.8500000000000005E-002 0.0000000000000000 2
6.9000000000000006E-002 1.1544382256097522E-020 2
6.9500000000000006E-002 1.9668343128002251E-021 2
7.0000000000000007E-002 0.0000000000000000 2
7.0500000000000007E-002 2.3086971603296652E-022 2
7.1000000000000008E-002 3.8475033360763096E-023 2
7.1500000000000008E-002 0.0000000000000000 2
7.2000000000000008E-002 3.3809652350246119E-022 2
7.2499999999999995E-002 7.5489079301318660E-021 2
7.2999999999999995E-002 0.0000000000000000 2
7.3499999999999996E-002 3.0707386480042365E-021 2
7.3999999999999996E-002 3.4183560387945382E-023 2
7.4499999999999997E-002 1.5874375953899899E-022 2
7.4999999999999997E-002 0.0000000000000000 2
7.5499999999999998E-002 5.4796551079984085E-022 2
7.5999999999999998E-002 3.8877475663493955E-022 2
7.6499999999999999E-002 0.0000000000000000 2
7.6999999999999999E-002 6.5964155792729264E-023 2
7.7499999999999999E-002 1.3743663967614879E-021 2
7.8000000000000000E-002 9.6807074917651968E-022 2
7.8500000000000000E-002 0.0000000000000000 2
7.9000000000000001E-002 1.8314460527599966E-020 2
7.9500000000000001E-002 0.0000000000000000 2
8.0000000000000002E-002 0.0000000000000000 2
8.0500000000000002E-002 0.0000000000000000 2
8.1000000000000003E-002 0.0000000000000000 2
8.1500000000000003E-002 7.8423869314956064E-022 2
8.2000000000000003E-002 3.7923368076922896E-021 2
8.2500000000000004E-002 0.0000000000000000 2
8.3000000000000004E-002 0.0000000000000000 2
8.3500000000000005E-002 4.2184975580718311E-024 2
8.4000000000000005E-002 0.0000000000000000 2
8.4500000000000006E-002 6.4964635949559237E-021 2
8.5000000000000006E-002 3.4918353778928018E-023 2
8.5500000000000007E-002 0.0000000000000000 2
8.6000000000000007E-002 0.0000000000000000 2
8.6500000000000007E-002 3.8478319111720371E-022 2
8.7000000000000008E-002 0.0000000000000000 2
8.7500000000000008E-002 2.9506499371923848E-020 2
8.7999999999999995E-002 0.0000000000000000 2
8.8499999999999995E-002 0.0000000000000000 2
8.8999999999999996E-002 5.3262505205978550E-023 2
8.9499999999999996E-002 2.2926317028053557E-022 2
8.9999999999999997E-002 0.0000000000000000 2
9.0499999999999997E-002 1.0649914815635575E-023 2
9.0999999999999998E-002 6.9281062904705002E-022 2
