# XXZ spin chain 
# ED for L=20, Delta=0.575
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 434.13919272454837 434.989
5.0000000000000001E-004 6.0359553194210702E-007 0.850001
1.0000000000000000E-003 1.5018271702255842E-006 0.850002
1.5000000000000000E-003 2.9789708112533813E-006 0.850003
2.0000000000000000E-003 4.9005115493870053E-006 0.850005
2.5000000000000001E-003 7.7570935886227935E-006 0.850008
3.0000000000000001E-003 9.6589471897296968E-006 0.85001
3.5000000000000001E-003 1.2364534392720971E-005 0.850012
4.0000000000000001E-003 1.7611356141933305E-005 0.850018
4.5000000000000005E-003 2.2777647665933284E-005 0.850023
5.0000000000000001E-003 2.4170853170302158E-005 0.850024
5.4999999999999997E-003 3.2618186313606401E-005 0.850033
6.0000000000000001E-003 3.3008394991198271E-005 0.850033
6.5000000000000006E-003 4.2624264110378733E-005 0.850043
7.0000000000000001E-003 4.9373956137657963E-005 0.850049
7.4999999999999997E-003 5.5857581666869385E-005 0.850056
8.0000000000000002E-003 6.5567783884572871E-005 0.850066
8.5000000000000006E-003 7.9656141241042175E-005 0.85008
9.0000000000000011E-003 8.5464136725519721E-005 0.850085
9.4999999999999998E-003 8.4013825560428704E-005 0.850084
1.0000000000000000E-002 1.0357897489860708E-004 0.850104
1.0500000000000001E-002 1.2189055389320240E-004 0.850122
1.0999999999999999E-002 1.4739118524932345E-004 0.850147
1.1500000000000000E-002 1.5332929298010034E-004 0.850153
1.2000000000000000E-002 1.4658916443374288E-004 0.850147
1.2500000000000001E-002 2.1764938488300702E-004 0.850218
1.3000000000000001E-002 2.3725913003849945E-004 0.850237
1.3500000000000000E-002 2.3111699638217692E-004 0.850231
1.4000000000000000E-002 2.9702136265148188E-004 0.850297
1.4500000000000001E-002 2.8783495313489804E-004 0.850288
1.4999999999999999E-002 2.6847751667624013E-004 0.850268
1.5500000000000000E-002 3.8977752235299376E-004 0.85039
1.6000000000000000E-002 3.2656816924622615E-004 0.850327
1.6500000000000001E-002 3.9011362952701421E-004 0.85039
1.7000000000000001E-002 4.6467789215490766E-004 0.850465
1.7500000000000002E-002 4.8506672110382106E-004 0.850485
1.8000000000000002E-002 3.8425966348090061E-004 0.850384
1.8499999999999999E-002 3.0680915873849334E-003 0.853068
1.9000000000000000E-002 5.3535226669375038E-003 0.855354
1.9500000000000000E-002 3.9690647779360598E-003 0.853969
2.0000000000000000E-002 3.3348492113771592E-003 0.853335
2.0500000000000001E-002 3.4614493392286986E-003 0.853461
2.1000000000000001E-002 6.8985059682537611E-003 0.856899
2.1500000000000002E-002 6.3735810010015102E-004 0.850637
2.1999999999999999E-002 4.0702714560491397E-003 0.85407
2.2499999999999999E-002 2.5983348044287930E-003 0.852598
2.3000000000000000E-002 9.8377846061047862E-004 0.850984
2.3500000000000000E-002 1.3832711306119409E-003 0.851383
2.4000000000000000E-002 1.4081082084838100E-003 0.851408
2.4500000000000001E-002 1.5936396138706910E-003 0.851594
2.5000000000000001E-002 3.2774344184742046E-003 0.853277
2.5500000000000002E-002 2.8396682443036511E-003 0.85284
2.6000000000000002E-002 5.1036886672232596E-003 0.855104
2.6499999999999999E-002 5.2827406207901209E-003 0.855283
2.7000000000000000E-002 4.4298877230858980E-003 0.85443
2.7500000000000000E-002 9.0006849321286903E-003 0.859001
2.8000000000000001E-002 8.1180814012994946E-003 0.858118
2.8500000000000001E-002 8.6956196457881139E-003 0.858696
2.9000000000000001E-002 1.3667659814236760E-002 0.863668
2.9500000000000002E-002 1.4369710525359947E-002 0.86437
