# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

1 0.0645322
1.5 0.022258
2 0.0056296
2.5 0.00113455
3 0.000207271
3.5 6.64063e-05
4 2.71498e-05
