# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

1 0.0797091
1.5 0.0323566
2 0.0115696
2.5 0.00331479
3 0.00074463
3.5 0.000114167
4 4.06304e-05
