# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.148706
1 0.0639412
1.5 0.0217283
2 0.00494593
2.5 0.00113397
3 0.000271266
3.5 7.64578e-05
4 3.96934e-05
4.5 1.81642e-05
5 1.57286e-05
5.5 1.13362e-05
6 8.65758e-06
