# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.15922
1 0.0640168
1.5 0.0186536
2 0.00476025
2.5 0.00126819
3 0.000335327
3.5 0.00011973
4 4.8404e-05
4.5 2.4579e-05
5 1.94225e-05
5.5 1.74096e-05
6 1.38829e-05
