# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.172908
1 0.0871716
1.5 0.0361368
2 0.0124525
2.5 0.00351559
3 0.0010276
3.5 0.000260226
4 6.67128e-05
4.5 3.33296e-05
5 2.50295e-05
5.5 1.48969e-05
6 1.22961e-05
