# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

0.5 0.140222
1 0.0576095
1.5 0.016837
2 0.00368657
2.5 0.000467152
3 8.87718e-05
3.5 3.42092e-05
4 1.88143e-05
4.5 1.35818e-05
5 8.79304e-06
5.5 7.2515e-06
6 7.27818e-06
