# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

1 0.0654791
1.5 0.0222964
2 0.00574811
2.5 0.00110463
3 0.000266674
3.5 6.75805e-05
4 2.73723e-05
