# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# High-T dc spin conductivities sigma_0
# W/J sigma_0

1 0.0512285
1.5 0.0178099
2 0.0038699
2.5 0.000754375
3 0.000108823
3.5 5.51513e-05
4 2.1274e-05
