# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=6, W=3.0
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# L <r>
1.000000000000000000e+01 5.206122832991000315e-01
1.200000000000000000e+01 5.281943130628499183e-01
1.400000000000000000e+01 5.307485050878749666e-01
1.600000000000000000e+01 5.306933205307000634e-01
