# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=6, W=4.0
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# L <r>
1.000000000000000000e+01 5.107345133837000173e-01
1.200000000000000000e+01 5.266680156447001160e-01
1.400000000000000000e+01 5.308065145220750569e-01
1.600000000000000000e+01 5.305847441556249544e-01
