# XXZ spin chain 
# MCLM for L=32, Delta=0.600
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.00426 0.53159 1.33159
0.00428 0.51488 1.31488
0.00430 0.49904 1.29904
0.00432 0.48434 1.28434
0.00434 0.47062 1.27062
0.00436 0.45764 1.25764
0.00438 0.44537 1.24537
0.00440 0.43362 1.23362
0.00442 0.42209 1.22209
0.00444 0.41057 1.21057
0.00446 0.39899 1.19899
0.00448 0.38740 1.1874
0.00450 0.37599 1.17599
0.00452 0.36508 1.16508
0.00454 0.35483 1.15483
0.00456 0.34541 1.14541
0.00458 0.33685 1.13685
0.00460 0.32888 1.12888
0.00462 0.32120 1.1212
0.00464 0.31386 1.11386
0.00466 0.30689 1.10689
0.00468 0.30019 1.10019
0.00470 0.29377 1.09377
0.00472 0.28774 1.08774
0.00474 0.28208 1.08208
0.00476 0.27668 1.07668
0.00478 0.27149 1.07149
0.00480 0.26652 1.06652
0.00482 0.26172 1.06172
0.00484 0.25706 1.05706
0.00486 0.25255 1.05255
0.00488 0.24821 1.04821
0.00490 0.24400 1.044
0.00492 0.23992 1.03992
0.00494 0.23593 1.03593
0.00496 0.23204 1.03204
0.00498 0.22824 1.02824
0.00500 0.22450 1.0245
0.00502 0.22081 1.02081
0.00504 0.21716 1.01716
0.00506 0.21357 1.01357
0.00508 0.21001 1.01001
0.00510 0.20649 1.00649
0.00512 0.20310 1.0031
0.00514 0.19985 0.99985
0.00516 0.19676 0.99676
0.00518 0.19378 0.99378
0.00520 0.19090 0.9909
0.00522 0.18809 0.98809
0.00524 0.18535 0.98535
0.00526 0.18266 0.98266
0.00528 0.18001 0.98001
0.00530 0.17739 0.97739
0.00532 0.17479 0.97479
0.00534 0.17228 0.97228
0.00536 0.16985 0.96985
0.00538 0.16748 0.96748
0.00540 0.16514 0.96514
0.00542 0.16285 0.96285
0.00544 0.16061 0.96061
0.00546 0.15843 0.95843
0.00548 0.15631 0.95631
0.00550 0.15424 0.95424
0.00552 0.15221 0.95221
0.00554 0.15021 0.95021
0.00556 0.14827 0.94827
0.00558 0.14639 0.94639
0.00560 0.14455 0.94455
0.00562 0.14275 0.94275
0.00564 0.14100 0.941
0.00566 0.13929 0.93929
0.00568 0.13763 0.93763
0.00570 0.13599 0.93599
0.00572 0.13439 0.93439
0.00574 0.13283 0.93283
0.00576 0.13131 0.93131
0.00578 0.12982 0.92982
0.00580 0.12836 0.92836
0.00582 0.12692 0.92692
0.00584 0.12550 0.9255
0.00586 0.12409 0.92409
0.00588 0.12270 0.9227
0.00590 0.12132 0.92132
0.00592 0.11997 0.91997
0.00594 0.11864 0.91864
0.00596 0.11735 0.91735
0.00598 0.11610 0.9161
0.00600 0.11488 0.91488
0.00602 0.11369 0.91369
0.00604 0.11252 0.91252
0.00606 0.11137 0.91137
0.00608 0.11023 0.91023
0.00610 0.10913 0.90913
0.00612 0.10805 0.90805
0.00614 0.10700 0.907
0.00616 0.10595 0.90595
0.00618 0.10492 0.90492
0.00620 0.10390 0.9039
0.00622 0.10290 0.9029
0.00624 0.10190 0.9019
0.00626 0.10092 0.90092
0.00628 0.09996 0.89996
0.00630 0.09902 0.89902
0.00632 0.09811 0.89811
0.00634 0.09722 0.89722
0.00636 0.09635 0.89635
0.00638 0.09549 0.89549
0.00640 0.09465 0.89465
0.00642 0.09382 0.89382
0.00644 0.09302 0.89302
0.00646 0.09223 0.89223
0.00648 0.09146 0.89146
0.00650 0.09070 0.8907
0.00652 0.08995 0.88995
0.00654 0.08920 0.8892
0.00656 0.08847 0.88847
0.00658 0.08775 0.88775
0.00660 0.08703 0.88703
0.00662 0.08633 0.88633
0.00664 0.08564 0.88564
0.00666 0.08496 0.88496
0.00668 0.08429 0.88429
0.00670 0.08363 0.88363
0.00672 0.08299 0.88299
0.00674 0.08235 0.88235
0.00676 0.08172 0.88172
0.00678 0.08109 0.88109
0.00680 0.08048 0.88048
0.00682 0.07987 0.87987
0.00684 0.07927 0.87927
0.00686 0.07867 0.87867
0.00688 0.07808 0.87808
0.00690 0.07750 0.8775
0.00692 0.07692 0.87692
0.00694 0.07635 0.87635
0.00696 0.07579 0.87579
0.00698 0.07524 0.87524
0.00700 0.07469 0.87469
0.00702 0.07415 0.87415
0.00704 0.07361 0.87361
0.00706 0.07308 0.87308
0.00708 0.07255 0.87255
0.00710 0.07203 0.87203
0.00712 0.07152 0.87152
0.00714 0.07101 0.87101
0.00716 0.07052 0.87052
0.00718 0.07003 0.87003
0.00720 0.06955 0.86955
0.00722 0.06907 0.86907
0.00724 0.06859 0.86859
0.00726 0.06812 0.86812
0.00728 0.06766 0.86766
0.00730 0.06720 0.8672
0.00732 0.06675 0.86675
0.00734 0.06630 0.8663
0.00736 0.06586 0.86586
0.00738 0.06542 0.86542
0.00740 0.06499 0.86499
0.00742 0.06456 0.86456
0.00744 0.06414 0.86414
0.00746 0.06372 0.86372
0.00748 0.06332 0.86332
0.00750 0.06292 0.86292
0.00752 0.06252 0.86252
0.00754 0.06213 0.86213
0.00756 0.06173 0.86173
0.00758 0.06135 0.86135
0.00760 0.06096 0.86096
0.00762 0.06059 0.86059
0.00764 0.06021 0.86021
0.00766 0.05985 0.85985
0.00768 0.05948 0.85948
0.00770 0.05912 0.85912
0.00772 0.05876 0.85876
0.00774 0.05841 0.85841
0.00776 0.05807 0.85807
0.00778 0.05773 0.85773
0.00780 0.05739 0.85739
0.00782 0.05706 0.85706
0.00784 0.05673 0.85673
0.00786 0.05640 0.8564
0.00788 0.05607 0.85607
0.00790 0.05575 0.85575
0.00792 0.05544 0.85544
0.00794 0.05513 0.85513
0.00796 0.05482 0.85482
0.00798 0.05452 0.85452
0.00800 0.05422 0.85422
0.00802 0.05393 0.85393
0.00804 0.05364 0.85364
0.00806 0.05336 0.85336
0.00808 0.05308 0.85308
0.00810 0.05280 0.8528
0.00812 0.05252 0.85252
0.00814 0.05225 0.85225
0.00816 0.05198 0.85198
0.00818 0.05172 0.85172
0.00820 0.05147 0.85147
0.00822 0.05121 0.85121
0.00824 0.05097 0.85097
0.00826 0.05072 0.85072
0.00828 0.05048 0.85048
0.00830 0.05025 0.85025
0.00832 0.05002 0.85002
0.00834 0.04979 0.84979
0.00836 0.04957 0.84957
0.00838 0.04935 0.84935
0.00840 0.04914 0.84914
0.00842 0.04893 0.84893
0.00844 0.04872 0.84872
0.00846 0.04852 0.84852
0.00848 0.04832 0.84832
0.00850 0.04812 0.84812
0.00852 0.04793 0.84793
0.00854 0.04774 0.84774
0.00856 0.04755 0.84755
0.00858 0.04737 0.84737
0.00860 0.04719 0.84719
0.00862 0.04702 0.84702
0.00864 0.04685 0.84685
0.00866 0.04668 0.84668
0.00868 0.04652 0.84652
0.00870 0.04636 0.84636
