# XXZ spin chain 
# MCLM for L=32, Delta=0.900
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.00008 9.85668 10.0567
0.00010 9.95954 10.1595
0.00012 10.06013 10.2601
0.00014 10.15836 10.3584
0.00016 10.25415 10.4541
0.00018 10.34741 10.5474
0.00020 10.43808 10.6381
0.00022 10.52607 10.7261
0.00024 10.61131 10.8113
0.00026 10.69374 10.8937
0.00028 10.77327 10.9733
0.00030 10.84985 11.0498
0.00032 10.92340 11.1234
0.00034 10.99387 11.1939
0.00036 11.06120 11.2612
0.00038 11.12532 11.3253
0.00040 11.18618 11.3862
0.00042 11.24375 11.4437
0.00044 11.29796 11.498
0.00046 11.34877 11.5488
0.00048 11.39615 11.5961
0.00050 11.44006 11.6401
0.00052 11.48046 11.6805
0.00054 11.51733 11.7173
0.00056 11.55063 11.7506
0.00058 11.58034 11.7803
0.00060 11.60645 11.8064
0.00062 11.62893 11.8289
0.00064 11.64777 11.8478
0.00066 11.66296 11.863
0.00068 11.67450 11.8745
0.00070 11.68238 11.8824
0.00072 11.68660 11.8866
0.00074 11.68717 11.8872
0.00076 11.68410 11.8841
0.00078 11.67738 11.8774
0.00080 11.66706 11.8671
0.00082 11.65313 11.8531
0.00084 11.63562 11.8356
0.00086 11.61456 11.8146
0.00088 11.58996 11.79
0.00090 11.56188 11.7619
0.00092 11.53033 11.7303
0.00094 11.49536 11.6954
0.00096 11.45700 11.657
0.00098 11.41531 11.6153
0.00100 11.37033 11.5703
0.00102 11.32210 11.5221
0.00104 11.27067 11.4707
0.00106 11.21611 11.4161
0.00108 11.15846 11.3585
0.00110 11.09779 11.2978
0.00112 11.03416 11.2342
0.00114 10.96764 11.1676
0.00116 10.89828 11.0983
0.00118 10.82616 11.0262
0.00120 10.75135 10.9513
0.00122 10.67391 10.8739
0.00124 10.59393 10.7939
0.00126 10.51147 10.7115
0.00128 10.42661 10.6266
0.00130 10.33943 10.5394
0.00132 10.25001 10.45
0.00134 10.15843 10.3584
0.00136 10.06476 10.2648
0.00138 9.96910 10.1691
0.00140 9.87152 10.0715
0.00142 9.77210 9.9721
0.00144 9.67093 9.87093
0.00146 9.56810 9.7681
0.00148 9.46369 9.66369
0.00150 9.35778 9.55778
0.00152 9.25045 9.45045
0.00154 9.14180 9.3418
0.00156 9.03190 9.2319
0.00158 8.92084 9.12084
0.00160 8.80871 9.00871
0.00162 8.69559 8.89559
0.00164 8.58155 8.78155
0.00166 8.46669 8.66669
0.00168 8.35109 8.55109
0.00170 8.23482 8.43482
0.00172 8.11797 8.31797
0.00174 8.00061 8.20061
0.00176 7.88283 8.08283
0.00178 7.76470 7.9647
0.00180 7.64629 7.84629
0.00182 7.52769 7.72769
0.00184 7.40897 7.60897
0.00186 7.29019 7.49019
0.00188 7.17143 7.37143
0.00190 7.05276 7.25276
0.00192 6.93425 7.13425
0.00194 6.81595 7.01595
0.00196 6.69794 6.89794
0.00198 6.58028 6.78028
0.00200 6.46304 6.66304
0.00202 6.34626 6.54626
0.00204 6.23000 6.43
0.00206 6.11433 6.31433
0.00208 5.99930 6.1993
0.00210 5.88496 6.08496
0.00212 5.77136 5.97136
0.00214 5.65855 5.85855
0.00216 5.54657 5.74657
0.00218 5.43548 5.63548
0.00220 5.32530 5.5253
0.00222 5.21610 5.4161
0.00224 5.10790 5.3079
0.00226 5.00074 5.20074
0.00228 4.89465 5.09465
0.00230 4.78968 4.98968
0.00232 4.68586 4.88586
0.00234 4.58320 4.7832
0.00236 4.48175 4.68175
0.00238 4.38152 4.58152
0.00240 4.28255 4.48255
0.00242 4.18486 4.38486
0.00244 4.08846 4.28846
0.00246 3.99338 4.19338
0.00248 3.89964 4.09964
0.00250 3.80724 4.00724
0.00252 3.71622 3.91622
0.00254 3.62657 3.82657
0.00256 3.53831 3.73831
0.00258 3.45145 3.65145
0.00260 3.36600 3.566
0.00262 3.28197 3.48197
0.00264 3.19936 3.39936
0.00266 3.11817 3.31817
0.00268 3.03842 3.23842
0.00270 2.96010 3.1601
0.00272 2.88320 3.0832
0.00274 2.80774 3.00774
0.00276 2.73371 2.93371
0.00278 2.66110 2.8611
0.00280 2.58992 2.78992
0.00282 2.52015 2.72015
0.00284 2.45179 2.65179
0.00286 2.38484 2.58484
0.00288 2.31928 2.51928
0.00290 2.25511 2.45511
0.00292 2.19231 2.39231
0.00294 2.13088 2.33088
0.00296 2.07081 2.27081
0.00298 2.01207 2.21207
0.00300 1.95467 2.15467
0.00302 1.89858 2.09858
0.00304 1.84380 2.0438
0.00306 1.79031 1.99031
0.00308 1.73808 1.93808
0.00310 1.68496 1.88496
0.00312 1.63304 1.83304
0.00314 1.58241 1.78241
0.00316 1.53316 1.73316
0.00318 1.48515 1.68515
0.00320 1.43819 1.63819
0.00322 1.39237 1.59237
0.00324 1.34785 1.54785
0.00326 1.30478 1.50478
0.00328 1.26311 1.46311
0.00330 1.22257 1.42257
0.00332 1.18295 1.38295
0.00334 1.14432 1.34432
0.00336 1.10701 1.30701
0.00338 1.07100 1.271
0.00340 1.03602 1.23602
0.00342 1.00205 1.20205
0.00344 0.96916 1.16916
0.00346 0.93738 1.13738
0.00348 0.90658 1.10658
0.00350 0.87667 1.07667
0.00352 0.84771 1.04771
0.00354 0.81964 1.01964
0.00356 0.79243 0.99243
0.00358 0.76605 0.96605
0.00360 0.74032 0.94032
0.00362 0.71537 0.91537
0.00364 0.69134 0.89134
0.00366 0.66821 0.86821
0.00368 0.64581 0.84581
0.00370 0.62398 0.82398
