# Interacting fermions (standard model)
# L=16, Delta=1, W=100.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-1.000000000000000000e+00 9.997188806000000261e-01
-9.941897440062686941e-01 -9.999999993999999504e-01
-9.885925426133355121e-01 9.997188820000000309e-01
-9.757675522932311996e-01 9.997188807000000343e-01
-9.744911234177114912e-01 -1.000000000000000000e+00
-9.688940257043716642e-01 9.997188806000000261e-01
-9.630836126437937184e-01 -9.999999993999999504e-01
-9.560689317046739966e-01 9.997188793000000295e-01
-9.502585186440959397e-01 -9.999999994999999586e-01
-9.446614209307562238e-01 9.997188807000000343e-01
-9.363765151276050025e-01 -9.999999998999999917e-01
-9.307793137346719314e-01 9.997188806000000261e-01
-9.249690577409405146e-01 -9.999999993999999504e-01
-9.205332331135779311e-01 9.997188793000000295e-01
-9.147229768619371537e-01 -9.999999994999999586e-01
-9.143803609400366073e-01 9.997188820000000309e-01
-9.091257757269134432e-01 9.997188806000000261e-01
-9.052705408319767777e-01 -9.999999998999999917e-01
-8.950243562733799507e-01 -1.000000000000000000e+00
-8.946817406093888758e-01 9.997188806000000261e-01
-8.894272588179495953e-01 9.997188793000000295e-01
-8.888713275488109300e-01 -9.999999993999999504e-01
-8.836168454994621779e-01 -9.999999994999999586e-01
-8.832740998491152018e-01 9.997188820000000309e-01
-8.727448050074702035e-01 -9.999999236000000069e-01
-8.704491358357734354e-01 9.997188807000000343e-01
-8.686459259051434456e-01 -9.998076055000000295e-01
-8.671465626920524805e-01 9.997212554000000084e-01
-8.634304229984373080e-01 -1.000000000000000000e+00
-8.604745887168642193e-01 9.999088344000000017e-01
-8.587593403469125919e-01 -9.999999212000000304e-01
-8.578332218634135975e-01 9.997188806000000261e-01
-8.572384685184788466e-01 -9.998076030000000447e-01
-8.565671325771917477e-01 9.997188806000000261e-01
-8.543215721140386965e-01 9.997212540000000036e-01
-8.520229656117728201e-01 -9.999999993999999504e-01
-8.507568765834605529e-01 -9.999999993999999504e-01
